x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
15.32353,-49.2242,13.901,-0.004,-2.805
15.37553,-49.0742,13.65,0.008,-2.802
15.39353,-49.0122,13.688,-0.009,-2.799
15.40853,-48.9552,13.83,-0.009,-2.797
15.40553,-48.8972,13.775,0.014,-2.794
15.40453,-48.8532,13.579,0.019,-2.799
15.41453,-48.8182,13.482,0.006,-2.795
15.44353,-48.7652,13.49,-0.002,-2.796
15.46653,-48.7202,13.564,-0.005,-2.796
15.47953,-48.6252,13.731,-0.007,-2.804
15.47053,-48.5492,13.749,0.002,-2.799
15.46653,-48.5232,13.774,-0.004,-2.8
15.45853,-48.4652,13.866,-0.01,-2.801
15.44453,-48.3942,14.061,-0.021,-2.799
15.43053,-48.3272,14.288,-0.024,-2.803
15.42353,-48.2432,14.527,-0.015,-2.794
15.41553,-48.1762,14.75,-0.022,-2.802
15.40853,-48.1352,14.957,-0.024,-2.8
15.40253,-48.0832,15.177,-0.014,-2.801
15.40053,-48.0472,15.249,-0.002,-2.802
15.41153,-47.9942,15.148,0.012,-2.797
15.42153,-47.9592,15.03,0.009,-2.803
15.42953,-47.9202,14.849,0.016,-2.796
15.44453,-47.8852,14.595,0.019,-2.789
15.46353,-47.8682,14.497,0.008,-2.793
15.48253,-47.8532,14.485,0,-2.791
15.49153,-47.8292,14.539,-0.001,-2.804
15.48253,-47.8082,14.487,0.009,-2.792
15.45553,-47.7752,14.346,0.014,-2.807
15.43853,-47.7532,14.196,0.018,-2.796
15.42453,-47.7292,14.001,0.02,-2.803
15.40953,-47.6952,13.711,0.019,-2.803
15.40353,-47.6802,13.476,0.02,-2.803
15.39853,-47.6742,13.293,0.015,-2.801
15.39353,-47.6692,13.122,0.014,-2.799
15.39053,-47.6522,12.717,0.027,-2.805
15.38953,-47.6332,12.319,0.041,-2.802
15.38853,-47.6182,11.945,0.044,-2.794
15.38553,-47.6012,11.432,0.032,-2.802
15.38153,-47.5922,11.24,0.02,-2.794
15.37753,-47.5842,11.099,0.014,-2.803
15.37153,-47.5722,10.846,0.016,-2.798
15.37153,-47.5672,10.679,0.012,-2.804
15.36853,-47.5502,10.523,0.009,-2.805
15.36953,-47.5282,10.429,0.011,-2.796
15.36953,-47.5212,10.376,0.005,-2.794
15.36153,-47.5082,10.317,0.004,-2.796
15.34653,-47.4932,10.312,0.003,-2.803
15.32153,-47.4792,10.272,0.005,-2.814
15.31353,-47.4752,10.205,0.005,-2.8
15.31253,-47.4712,10.188,0,-2.805
15.31453,-47.4662,10.161,0.003,-2.791
15.31153,-47.4592,10.113,0.003,-2.806
15.31153,-47.4582,10.102,0,-2.799
15.31153,-47.4582,10.102,0,-2.804
15.31153,-47.4592,10.098,-0.001,-2.796
15.30953,-47.4592,10.108,0,-2.795
15.30353,-47.4582,10.127,-0.003,-2.804
15.29153,-47.4592,10.146,-0.001,-2.801
15.26753,-47.4612,10.165,0,-2.802
15.24653,-47.4622,10.178,-0.004,-2.796
15.22153,-47.4592,10.18,0.001,-2.797
15.19453,-47.4512,10.169,0.003,-2.801
15.18353,-47.4462,10.141,0.004,-2.801
15.18153,-47.4432,10.12,0.003,-2.808
15.18853,-47.4302,10.046,0.005,-2.796
15.20653,-47.4112,9.92,0.006,-2.792
15.21653,-47.3992,9.872,0.004,-2.793
15.22053,-47.3902,9.82,0.005,-2.8
15.21953,-47.3792,9.738,0.007,-2.806
15.21653,-47.3752,9.707,0.002,-2.797
15.21553,-47.3732,9.696,0,-2.802
15.21253,-47.3742,9.702,0,-2.797
15.21153,-47.3752,9.702,0,-2.802
15.21253,-47.3752,9.707,0,-2.794
15.21453,-47.3752,9.707,0,-2.796
15.21953,-47.3742,9.707,0,-2.802
15.22553,-47.3732,9.692,0.002,-2.806
15.24353,-47.3712,9.692,0,-2.811
15.26253,-47.3692,9.697,0,-2.801
15.26953,-47.3682,9.692,0.001,-2.801
15.27253,-47.3622,9.661,0.004,-2.798
15.26953,-47.3582,9.635,0.002,-2.793
15.26853,-47.3572,9.625,0,-2.789
15.27053,-47.3582,9.63,0,-2.792
15.27053,-47.3572,9.63,0,-2.796
15.27053,-47.3572,9.63,0,-2.805
15.27053,-47.3572,9.63,0,-2.798
15.27053,-47.3582,9.621,0.002,-2.806
15.27053,-47.3592,9.626,0,-2.799
15.27253,-47.3592,9.616,0,-2.802
15.27453,-47.3592,9.607,0,-2.801
15.27953,-47.3592,9.607,0,-2.798
15.28353,-47.3582,9.607,0,-2.798
15.28653,-47.3562,9.606,0,-2.801
15.28553,-47.3552,9.591,0.001,-2.814
15.28553,-47.3552,9.591,0,-2.811
15.28753,-47.3562,9.572,0.002,-2.805
15.28953,-47.3572,9.553,0.003,-2.803
15.29353,-47.3572,9.544,0,-2.797
15.29553,-47.3552,9.524,0.002,-2.796
15.30253,-47.3522,9.461,0.006,-2.802
15.30953,-47.3512,9.378,0.009,-2.795
15.31753,-47.3512,9.287,0.008,-2.803
15.31853,-47.3512,9.248,0.005,-2.793
15.31853,-47.3502,9.195,0.002,-2.804
