x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
12.67253,-47.2742,9.09,0,-2.798
12.67153,-47.2732,9.084,0,-2.808
12.67253,-47.2732,9.084,0,-2.806
12.67253,-47.2742,9.09,0,-2.81
12.67253,-47.2742,9.09,0,-2.801
12.67253,-47.2742,9.09,0,-2.797
12.67253,-47.2742,9.09,0,-2.799
12.67453,-47.2742,9.084,0.002,-2.798
12.67553,-47.2742,9.084,0,-2.795
12.67653,-47.2742,9.084,0,-2.792
12.67653,-47.2732,9.079,0,-2.801
12.67653,-47.2732,9.079,0,-2.803
12.67653,-47.2732,9.074,0.001,-2.804
12.67653,-47.2722,9.069,0.002,-2.803
12.67853,-47.2702,9.054,0,-2.804
12.67853,-47.2702,9.054,0,-2.804
12.67853,-47.2702,9.054,0,-2.797
12.67853,-47.2702,9.054,0,-2.806
12.68053,-47.2702,9.054,0,-2.797
12.68453,-47.2702,9.063,-0.001,-2.805
12.68753,-47.2712,9.078,0,-2.792
12.69053,-47.2722,9.078,0,-2.806
12.69853,-47.2732,9.087,0,-2.801
12.70853,-47.2762,9.117,0,-2.805
12.70953,-47.2812,9.157,-0.003,-2.798
12.70653,-47.2842,9.168,0.001,-2.796
12.70353,-47.2862,9.174,0,-2.797
12.69953,-47.2872,9.17,0,-2.793
12.69953,-47.2862,9.179,0,-2.794
12.69953,-47.2842,9.188,-0.002,-2.797
12.70053,-47.2822,9.216,-0.002,-2.801
12.70153,-47.2842,9.265,-0.005,-2.813
12.69953,-47.2952,9.401,-0.009,-2.807
12.69653,-47.3072,9.551,-0.01,-2.807
12.69553,-47.3152,9.642,-0.001,-2.802
12.69353,-47.3152,9.628,0,-2.803
12.69153,-47.3132,9.617,0.001,-2.804
12.68753,-47.3112,9.603,0.001,-2.801
12.67453,-47.3102,9.584,0.001,-2.8
12.67053,-47.3092,9.574,0,-2.796
12.66953,-47.3072,9.564,0.002,-2.789
12.66953,-47.3062,9.553,0.002,-2.795
12.67153,-47.3042,9.543,0.002,-2.792
12.67253,-47.3002,9.517,0.002,-2.805
12.67253,-47.2972,9.496,0.001,-2.795
12.67353,-47.2962,9.491,0,-2.805
12.67453,-47.2982,9.501,0,-2.797
12.67553,-47.3002,9.497,0,-2.805
12.67553,-47.3002,9.487,0,-2.801
12.67553,-47.2982,9.457,0.002,-2.805
12.67653,-47.2942,9.436,0.001,-2.806
12.67653,-47.2942,9.436,0,-2.805
12.67653,-47.2942,9.436,0,-2.798
12.67653,-47.2942,9.436,0,-2.798
12.67653,-47.2942,9.422,0,-2.801
12.67553,-47.2952,9.412,0,-2.803
12.67553,-47.2952,9.412,0,-2.8
12.67653,-47.2952,9.403,0.003,-2.801
12.67653,-47.2972,9.389,0.002,-2.798
12.67553,-47.2992,9.375,0.004,-2.801
12.67553,-47.2992,9.375,0,-2.796
12.67553,-47.2992,9.375,0,-2.8
12.67553,-47.2992,9.375,0,-2.796
12.67553,-47.2992,9.375,0,-2.794
12.67553,-47.2992,9.375,0,-2.804
12.67553,-47.2992,9.375,0,-2.798
12.67553,-47.2992,9.375,0,-2.808
12.67553,-47.2992,9.365,0,-2.792
12.67553,-47.3002,9.356,0,-2.808
12.67453,-47.3032,9.362,-0.001,-2.792
12.67453,-47.3042,9.372,-0.002,-2.804
12.67453,-47.3042,9.372,0,-2.791
12.67453,-47.3032,9.367,0,-2.806
12.67353,-47.3042,9.358,0.001,-2.797
12.67353,-47.3042,9.348,0,-2.804
12.67353,-47.3052,9.339,0,-2.797
12.67353,-47.3052,9.314,0.001,-2.805
12.67453,-47.3062,9.305,0,-2.804
12.67453,-47.3062,9.305,0,-2.8
12.67453,-47.3052,9.3,0.001,-2.802
12.67453,-47.3042,9.28,0.002,-2.799
12.67553,-47.3012,9.22,0.008,-2.802
12.67553,-47.2982,9.127,0.009,-2.796
12.67653,-47.2942,8.951,0.015,-2.798
12.67753,-47.2892,8.692,0.024,-2.807
12.67953,-47.2862,8.414,0.021,-2.798
12.68053,-47.2802,8.189,0.026,-2.794
12.67953,-47.2802,7.946,0.006,-2.789
12.67953,-47.2802,7.893,0.006,-2.797
12.68053,-47.2792,7.863,0.007,-2.803
12.68253,-47.2802,7.854,0,-2.801
12.68553,-47.2812,7.859,0,-2.803
12.68553,-47.2822,7.873,-0.001,-2.796
12.68553,-47.2822,7.873,0,-2.801
12.68553,-47.2812,7.868,0,-2.798
12.68553,-47.2802,7.863,0,-2.801
12.68553,-47.2802,7.863,0,-2.799
12.68553,-47.2802,7.863,0,-2.797
12.68553,-47.2802,7.863,0,-2.801
12.68553,-47.2802,7.863,0,-2.802
12.68653,-47.2792,7.844,0.001,-2.801
12.68653,-47.2792,7.79,0.003,-2.801
12.68653,-47.2802,7.771,0.001,-2.8
12.68553,-47.2802,7.761,0,-2.802
12.68553,-47.2812,7.766,0,-2.799
12.68553,-47.2822,7.762,0.001,-2.798
12.68553,-47.2832,7.743,0.003,-2.802
12.68553,-47.2852,7.738,-0.001,-2.8
12.68553,-47.2852,7.738,0,-2.8
12.68553,-47.2852,7.738,0,-2.801
12.68553,-47.2852,7.738,0,-2.801
12.68453,-47.2852,7.728,0,-2.801
12.68453,-47.2862,7.695,0.001,-2.803
12.68453,-47.2852,7.641,0.003,-2.812
12.68553,-47.2842,7.597,0.004,-2.807
12.68553,-47.2842,7.529,0.008,-2.803
12.68553,-47.2822,7.344,0.012,-2.789
12.68553,-47.2822,7.218,0.012,-2.793
12.68553,-47.2832,7.072,0.015,-2.796
12.68553,-47.2812,6.892,0.019,-2.8
12.68753,-47.2752,6.488,0.028,-2.804
12.68653,-47.2742,6.167,0.022,-2.807
12.68653,-47.2742,5.851,0.026,-2.807
12.68753,-47.2712,5.594,0.024,-2.808
12.68753,-47.2682,5.361,0.021,-2.795
12.68853,-47.2652,5.152,0.024,-2.803
12.69053,-47.2592,4.827,0.018,-2.794
12.69053,-47.2552,4.541,0.021,-2.799
12.69153,-47.2552,4.327,0.016,-2.8
12.68953,-47.2582,4.156,0.012,-2.8
12.68953,-47.2602,4.043,0.008,-2.805
12.68953,-47.2622,3.975,0.009,-2.797
12.68953,-47.2612,3.897,0.009,-2.798
12.69053,-47.2602,3.722,0.012,-2.801
12.69053,-47.2592,3.595,0.015,-2.799
12.69053,-47.2622,3.434,0.017,-2.802
12.68853,-47.2702,3.25,0.011,-2.798
12.68753,-47.2742,3.136,0.007,-2.82
12.68853,-47.2722,3.025,0.011,-2.822
12.68853,-47.2692,2.831,0.02,-2.82
12.68953,-47.2692,2.235,0.025,-2.8
12.68853,-47.2722,1.954,0.018,-2.796
12.68653,-47.2772,1.712,0.023,-2.79
12.68653,-47.2782,1.255,0.025,-2.792
12.68653,-47.2792,0.804,0.031,-2.792
12.68653,-47.2752,0.384,0.042,-2.8
12.68653,-47.2772,0.014,0.036,-2.801
12.68753,-47.2722,-1.458,0.079,-2.802
12.68753,-47.2702,-2.348,0.18,-2.805
12.68853,-47.2632,-3.156,0.441,-2.798
12.69053,-47.2492,-3.575,0.533,-2.803
12.69453,-47.2372,-3.669,0.558,-2.796
12.69453,-47.2352,-3.918,0.663,-2.803
12.69653,-47.2332,-4.329,0.822,-2.8
12.70453,-47.2282,-4.968,1.037,-2.798
12.70953,-47.2262,-5.32,1.16,-2.8
12.70653,-47.2272,-5.702,1.307,-2.798
12.70153,-47.2292,-5.925,1.387,-2.805
12.68953,-47.2332,-6.957,1.77,-2.798
12.69953,-47.2272,-7.769,2.064,-2.801
12.72253,-47.1812,-9.324,2.585,-2.799
12.71653,-47.1722,-9.702,2.701,-2.803
12.71253,-47.1702,-9.968,2.782,-2.804
12.73153,-47.1692,-10.694,3.055,-2.8
12.73553,-47.1682,-10.85,3.102,-2.8
12.73453,-47.1642,-11.162,3.193,-2.801
12.73053,-47.1632,-11.098,3.133,-2.802
12.73253,-47.1642,-10.589,2.915,-2.797
12.73653,-47.1652,-9.83,2.601,-2.795
12.75053,-47.1682,-7.324,1.635,-2.803
12.75753,-47.1832,-5.233,0.877,-2.811
12.75353,-47.2252,-1.893,-0.127,-2.812
12.74953,-47.2512,-0.393,-0.056,-2.8
12.74353,-47.2592,1.058,-0.218,-2.804
12.73553,-47.2842,3.678,-0.226,-2.799
12.71853,-47.3102,6.016,-0.234,-2.807
12.68453,-47.3422,9.441,-0.176,-2.796
12.67553,-47.3532,10.829,-0.129,-2.794
12.67653,-47.3592,11.789,-0.093,-2.791
12.67953,-47.3582,12.476,-0.068,-2.804
12.68153,-47.3552,13.297,-0.052,-2.809
12.67953,-47.3602,14.058,-0.047,-2.813
12.67753,-47.3662,14.512,-0.052,-2.802
12.67653,-47.3692,15.013,-0.058,-2.8
12.67753,-47.3712,16.24,-0.078,-2.799
12.67553,-47.3782,17.307,-0.093,-2.804
12.67053,-47.3892,18.574,-0.113,-2.804
12.65953,-47.4062,20.685,-0.131,-2.806
12.65753,-47.4142,21.891,-0.134,-2.803
12.65553,-47.4212,23.277,-0.139,-2.796
12.65553,-47.4262,24.682,-0.143,-2.788
12.65753,-47.4332,27.101,-0.159,-2.791
12.65253,-47.4442,30.987,-0.204,-2.797
12.65453,-47.4352,33.919,-0.184,-2.802
12.65753,-47.4192,35.855,-0.178,-2.796
12.66453,-47.3842,38.805,-0.161,-2.796
12.66753,-47.3682,40.714,-0.159,-2.797
12.66653,-47.3632,42.184,-0.166,-2.805
12.66653,-47.3662,44.666,-0.175,-2.802
12.66253,-47.3842,47.968,-0.176,-2.8
12.65853,-47.4032,50.599,-0.133,-2.798
12.66153,-47.4072,52.408,-0.045,-2.795
12.66453,-47.4052,52.66,-0.021,-2.805
12.66453,-47.4042,52.767,-0.002,-2.803
12.66553,-47.4012,52.55,0.022,-2.811
12.66653,-47.3962,52.295,0.031,-2.798
12.66653,-47.3952,51.993,0.033,-2.798
12.66553,-47.4012,51.005,0.054,-2.797
12.66153,-47.4162,50.304,0.054,-2.804
12.65553,-47.4502,49.441,0.05,-2.806
12.65453,-47.4682,48.902,0.049,-2.802
12.65953,-47.4802,48.276,0.055,-2.809
12.67153,-47.4932,47.116,0.049,-2.812
12.66653,-47.5122,46.581,0.035,-2.813
12.66353,-47.5262,46.335,0.03,-2.801
12.65653,-47.5502,46.056,0.018,-2.796
12.64753,-47.5582,45.756,0.03,-2.802
12.63153,-47.5572,45.332,0.036,-2.807
12.60953,-47.5472,44.819,0.027,-2.802
12.59853,-47.5442,44.629,0.013,-2.806
12.58953,-47.5502,44.48,0.004,-2.813
12.57153,-47.5642,44.314,0.013,-2.809
12.54053,-47.5772,43.965,0.026,-2.803
12.51753,-47.5852,43.648,0.026,-2.801
12.49153,-47.6042,43.365,0.011,-2.807
12.47753,-47.6112,43.281,0.008,-2.808
12.45853,-47.6182,43.237,0.003,-2.799
12.43353,-47.6212,43.207,0.003,-2.797
12.41853,-47.6232,43.125,0.007,-2.8
12.40753,-47.6262,43.067,0.007,-2.801
12.38453,-47.6282,42.963,0.01,-2.812
12.36553,-47.6252,42.796,0.02,-2.797
12.32853,-47.6222,42.394,0.014,-2.798
12.30053,-47.6242,42.13,0.017,-2.781
12.28253,-47.6282,41.97,0.016,-2.803
12.26953,-47.6322,41.824,0.019,-2.796
12.25353,-47.6382,41.431,0.024,-2.803
12.25053,-47.6412,41.233,0.023,-2.797
12.24853,-47.6472,41.038,0.017,-2.8
12.24553,-47.6532,40.883,0.015,-2.799
12.24353,-47.6602,40.8,0.005,-2.802
12.24453,-47.6642,40.771,0.001,-2.798
12.24553,-47.6652,40.763,0,-2.808
12.24653,-47.6652,40.763,0,-2.799
12.24753,-47.6622,40.728,0.004,-2.806
12.24953,-47.6522,40.624,0.003,-2.792
12.24753,-47.6512,40.615,0,-2.797
12.24353,-47.6532,40.641,-0.007,-2.8
12.23853,-47.6562,40.677,-0.004,-2.8
12.23253,-47.6572,40.63,0.006,-2.798
12.23253,-47.6552,40.581,0.008,-2.799
12.23453,-47.6492,40.512,0.008,-2.803
12.23753,-47.6452,40.419,0.014,-2.804
12.23953,-47.6412,40.296,0.011,-2.799
12.24153,-47.6382,40.125,0.012,-2.801
12.24253,-47.6352,39.866,0.019,-2.793
12.24253,-47.6312,39.622,0.02,-2.8
12.24353,-47.6282,39.5,0.01,-2.795
12.24353,-47.6262,39.37,0,-2.796
12.24253,-47.6252,39.37,0,-2.783
12.24253,-47.6252,39.354,0.003,-2.799
12.24253,-47.6272,39.339,0.003,-2.803
12.24153,-47.6252,39.282,0.005,-2.803
12.24053,-47.6252,39.25,0.005,-2.797
12.23753,-47.6262,39.211,0.004,-2.798
12.23653,-47.6272,39.212,-0.001,-2.806
12.23653,-47.6302,39.206,0.002,-2.8
12.23753,-47.6332,39.199,0.002,-2.797
12.23653,-47.6362,39.169,0.001,-2.79
12.23753,-47.6342,39.144,0.003,-2.79
12.23853,-47.6292,39.084,0.007,-2.786
12.24053,-47.6222,38.968,0.003,-2.789
12.23953,-47.6262,39.026,-0.005,-2.792
12.23853,-47.6312,39.085,-0.004,-2.794
12.23853,-47.6352,39.128,-0.003,-2.801
12.23953,-47.6372,39.153,-0.003,-2.801
12.23853,-47.6362,39.161,0,-2.806
12.23853,-47.6362,39.168,-0.002,-2.803
12.23953,-47.6342,39.167,0,-2.801
12.23853,-47.6332,39.167,0,-2.806
12.23853,-47.6302,39.157,0.001,-2.801
12.23553,-47.6282,39.14,0.004,-2.803
12.23353,-47.6292,39.149,-0.004,-2.797
12.23353,-47.6302,39.166,-0.004,-2.802
12.23353,-47.6312,39.183,-0.002,-2.796
12.23053,-47.6322,39.216,-0.002,-2.799
12.22753,-47.6342,39.241,-0.003,-2.799
12.22453,-47.6332,39.257,0,-2.805
12.22253,-47.6352,39.283,-0.004,-2.801
12.21953,-47.6382,39.357,-0.009,-2.802
12.21653,-47.6442,39.459,-0.008,-2.798
12.20953,-47.6532,39.602,-0.009,-2.8
12.20653,-47.6582,39.71,-0.01,-2.794
12.20453,-47.6592,39.759,-0.002,-2.8
12.20053,-47.6562,39.75,0.002,-2.797
12.19553,-47.6532,39.733,0.001,-2.802
12.19153,-47.6522,39.733,0,-2.806
12.19153,-47.6522,39.733,0,-2.8
12.19153,-47.6522,39.733,0,-2.8
12.18853,-47.6502,39.716,0.002,-2.791
12.18853,-47.6482,39.69,0.003,-2.791
12.18853,-47.6482,39.69,0,-2.794
12.18853,-47.6492,39.699,0,-2.796
12.18853,-47.6492,39.699,0,-2.796
12.18853,-47.6492,39.699,0,-2.789
12.18853,-47.6492,39.699,0,-2.79
12.18853,-47.6492,39.699,0,-2.798
12.18853,-47.6492,39.699,0,-2.799
12.18853,-47.6492,39.699,0,-2.8
12.18853,-47.6492,39.699,0,-2.802
12.18853,-47.6482,39.706,-0.003,-2.798
12.18953,-47.6472,39.705,0,-2.797
12.18853,-47.6462,39.713,0,-2.8
12.18853,-47.6452,39.728,-0.002,-2.804
12.18853,-47.6452,39.728,0,-2.802
12.18953,-47.6442,39.736,0,-2.798
12.18953,-47.6422,39.71,0.002,-2.799
12.18953,-47.6412,39.702,0,-2.802
12.18953,-47.6422,39.71,-0.001,-2.795
12.18953,-47.6422,39.71,0,-2.795
12.18953,-47.6422,39.71,0,-2.795
12.18953,-47.6422,39.71,0,-2.798
12.18953,-47.6422,39.71,0,-2.796
12.18953,-47.6422,39.71,0,-2.804
12.18953,-47.6422,39.71,0,-2.798
12.18953,-47.6422,39.71,0,-2.803
12.18953,-47.6412,39.702,0.002,-2.796
12.19053,-47.6402,39.685,0.003,-2.805
12.19053,-47.6372,39.651,0.001,-2.809
12.19153,-47.6362,39.642,0.004,-2.801
12.19153,-47.6362,39.642,0,-2.803
12.19153,-47.6362,39.642,0,-2.791
12.19053,-47.6372,39.651,0,-2.802
12.19153,-47.6362,39.642,0,-2.796
12.19153,-47.6362,39.642,0,-2.797
12.19153,-47.6362,39.642,0,-2.796
12.19153,-47.6362,39.642,0,-2.795
12.19153,-47.6362,39.65,0,-2.803
12.19153,-47.6362,39.65,0,-2.797
12.19153,-47.6362,39.65,0,-2.803
12.19153,-47.6362,39.65,0,-2.797
12.19153,-47.6362,39.65,0,-2.802
12.19153,-47.6362,39.65,0,-2.801
12.19153,-47.6362,39.65,0,-2.799
12.19153,-47.6362,39.65,0,-2.805
12.19153,-47.6362,39.65,0,-2.794
12.19153,-47.6362,39.65,0,-2.806
12.19253,-47.6352,39.641,0.003,-2.793
12.19253,-47.6352,39.641,0,-2.806
12.19253,-47.6352,39.641,0,-2.798
12.19253,-47.6352,39.641,0,-2.803
12.19253,-47.6352,39.641,0,-2.797
12.19353,-47.6322,39.607,0.002,-2.794
12.19353,-47.6322,39.599,0,-2.796
12.19353,-47.6322,39.599,0,-2.794
12.19353,-47.6322,39.599,0,-2.806
12.19353,-47.6322,39.599,0,-2.796
12.19353,-47.6322,39.599,0,-2.804
12.19253,-47.6322,39.607,0,-2.795
12.19253,-47.6332,39.616,0,-2.804
12.19253,-47.6332,39.616,0,-2.803
12.19253,-47.6322,39.607,0,-2.8
12.19353,-47.6332,39.616,-0.002,-2.805
12.19253,-47.6332,39.616,0,-2.8
12.19353,-47.6342,39.608,0,-2.809
12.19253,-47.6352,39.625,-0.004,-2.804
12.19353,-47.6352,39.625,0,-2.803
12.19353,-47.6352,39.625,0,-2.8
12.19353,-47.6352,39.625,0,-2.795
12.19353,-47.6362,39.634,0,-2.805
12.19353,-47.6362,39.634,0,-2.803
12.19353,-47.6362,39.634,0,-2.808
12.19353,-47.6372,39.626,0.001,-2.805
12.19353,-47.6372,39.57,0.01,-2.809
12.19153,-47.6372,39.289,0.03,-2.804
12.18553,-47.6412,38.906,0.045,-2.806
12.17553,-47.6462,38.364,0.062,-2.794
12.16153,-47.6562,37.532,0.086,-2.801
12.13953,-47.6732,35.563,0.109,-2.798
12.12853,-47.6732,34.441,0.114,-2.801
12.12553,-47.6722,33.908,0.119,-2.796
12.11453,-47.6612,32.351,0.128,-2.796
12.10353,-47.6452,30.073,0.137,-2.797
12.09953,-47.6382,28.844,0.136,-2.801
12.09253,-47.6262,26.643,0.136,-2.799
12.08653,-47.6232,25.467,0.127,-2.802
12.07653,-47.6202,23.772,0.122,-2.801
12.07253,-47.6152,22.711,0.117,-2.8
12.07153,-47.6022,21.023,0.118,-2.802
12.07153,-47.5952,20.169,0.114,-2.799
12.07053,-47.5862,19.09,0.105,-2.799
12.06953,-47.5812,18.338,0.099,-2.796
12.06553,-47.5672,17.229,0.085,-2.801
12.06153,-47.5502,15.941,0.082,-2.804
12.06253,-47.5402,15.015,0.086,-2.807
12.06553,-47.5322,13.704,0.086,-2.805
12.06653,-47.5272,12.963,0.086,-2.801
12.07153,-47.5122,11.728,0.086,-2.8
12.07653,-47.4992,10.815,0.085,-2.797
12.08753,-47.4802,9.492,0.081,-2.793
12.09253,-47.4732,8.72,0.077,-2.792
12.09553,-47.4652,7.899,0.072,-2.8
12.09653,-47.4582,7.251,0.066,-2.798
12.10153,-47.4442,6.102,0.063,-2.805
12.10853,-47.4322,5.117,0.058,-2.797
12.11753,-47.4232,4.37,0.057,-2.803
12.16153,-47.3972,2.33,0.077,-2.797
12.20053,-47.3772,0.434,0.078,-2.8
12.22753,-47.3732,-0.656,0.199,-2.804
12.25053,-47.3742,-1.016,0.197,-2.805
12.27853,-47.3772,-1.335,0.215,-2.806
12.29453,-47.3742,-1.612,0.294,-2.804
12.30653,-47.3722,-1.78,0.32,-2.799
12.31853,-47.3722,-1.848,0.4,-2.798
12.33353,-47.3682,-1.923,0.559,-2.797
12.34053,-47.3662,-1.945,0.586,-2.8
12.36353,-47.3622,-2.008,0.638,-2.799
12.39753,-47.3582,-2.195,0.638,-2.802
12.41953,-47.3552,-2.364,0.719,-2.798
12.43753,-47.3532,-2.484,0.677,-2.811
12.45653,-47.3532,-2.545,0.783,-2.797
12.47453,-47.3532,-2.742,0.553,-2.805
12.48553,-47.3512,-2.853,0.909,-2.794
12.48353,-47.3552,-2.861,0.751,-2.802
12.48253,-47.3562,-2.637,0.918,-2.8
12.48453,-47.3642,-2.764,0.784,-2.79
12.48353,-47.3632,-2.809,0.832,-2.8
12.48253,-47.3632,-2.654,1.031,-2.798
12.48353,-47.3702,-2.559,0.745,-2.809
12.48653,-47.3752,-2.678,0.833,-2.799
12.49053,-47.3762,-2.889,0,-2.8
12.49453,-47.3792,-3.021,0.921,-2.799
12.49553,-47.3802,-2.956,0.88,-2.8
12.49553,-47.3822,-2.994,0.938,-2.801
12.50053,-47.3852,-2.989,0.899,-2.798
12.51153,-47.3882,-3.01,0.887,-2.8
12.53153,-47.3922,-2.95,0.946,-2.803
12.54353,-47.3992,-3.029,0.909,-2.801
12.54053,-47.4052,-3.165,0.905,-2.802
12.53853,-47.4072,-3.217,0.959,-2.795
12.53853,-47.4162,-3.271,0.949,-2.804
12.53753,-47.4232,-3.172,1.079,-2.798
12.53753,-47.4302,-3.127,0.837,-2.804
12.53953,-47.4342,-3.135,1.003,-2.799
12.54253,-47.4342,-3.175,0.879,-2.798
12.54853,-47.4322,-3.258,1.027,-2.8
12.55153,-47.4312,-3.226,1.045,-2.804
12.55653,-47.4322,-3.291,1.005,-2.809
12.56853,-47.4332,-3.31,0.908,-2.807
12.59253,-47.4322,-3.623,0.899,-2.799
12.59353,-47.4302,-3.813,1.023,-2.798
12.59153,-47.4302,-3.711,1.172,-2.792
12.59253,-47.4362,-3.515,1.114,-2.803
12.59653,-47.4482,-3.293,1.204,-2.806
12.61253,-47.4652,-3.249,0.928,-2.811
12.62653,-47.4712,-3.327,0.873,-2.803
12.64253,-47.4712,-3.405,0.775,-2.8
12.65253,-47.4722,-3.41,0.969,-2.804
12.65753,-47.4702,-3.3,0.999,-2.801
12.65853,-47.4712,-3.306,0.915,-2.801
12.65653,-47.4742,-3.279,0.961,-2.801
12.65453,-47.4802,-3.223,0.948,-2.801
12.65153,-47.4862,-3.112,0.913,-2.802
12.64753,-47.4912,-2.9,0.824,-2.806
12.64453,-47.4952,-2.776,0.792,-2.804
12.64153,-47.4952,-2.848,0.695,-2.803
12.63253,-47.4932,-2.848,0.753,-2.801
12.62653,-47.4922,-2.797,0.754,-2.799
12.61653,-47.4882,-2.78,0.811,-2.804
12.60253,-47.4822,-2.732,0.835,-2.794
12.58953,-47.4672,-2.83,0.753,-2.804
12.58353,-47.4502,-2.575,0.905,-2.8
12.58153,-47.4492,-2.559,0.65,-2.807
12.57953,-47.4502,-2.727,0.827,-2.799
12.57953,-47.4472,-2.911,0.716,-2.805
12.57953,-47.4462,-3.016,0.946,-2.792
12.57653,-47.4472,-2.997,0.778,-2.805
12.57253,-47.4532,-2.73,0.989,-2.796
12.57053,-47.4582,-2.755,0.716,-2.807
12.55953,-47.4562,-2.852,0.972,-2.794
12.55853,-47.4612,-3.007,0,-2.793
12.55853,-47.4572,-2.832,0.993,-2.8
12.55753,-47.4622,-2.745,1.011,-2.813
12.55653,-47.4632,-2.842,0.867,-2.815
12.55653,-47.4632,-3.125,0.649,-2.807
12.55553,-47.4592,-3.745,0.793,-2.796
12.54953,-47.4542,-3.494,0.881,-2.804
12.54853,-47.4622,-3.106,1.011,-2.799
12.54953,-47.4632,-2.975,0.779,-2.801
12.54953,-47.4652,-3.133,1,-2.797
12.54853,-47.4612,-3.11,0.925,-2.805
12.54853,-47.4642,-3.006,0.985,-2.809
12.54853,-47.4702,-3.143,0.835,-2.803
12.54753,-47.4702,-3.259,0.771,-2.803
12.54653,-47.4672,-3.221,0.899,-2.798
12.54653,-47.4682,-3.166,0.888,-2.804
12.54753,-47.4662,-3.048,0.971,-2.8
12.54653,-47.4672,-3.105,0.845,-2.797
12.54553,-47.4662,-3.135,0.962,-2.803
12.54753,-47.4632,-3.046,1.007,-2.801
12.54753,-47.4662,-3.109,0.886,-2.802
12.54653,-47.4642,-3.108,0.909,-2.793
12.54753,-47.4662,-3.124,0.9,-2.794
12.54753,-47.4662,-3.033,1.099,-2.801
12.54853,-47.4672,-2.822,0.989,-2.803
12.54853,-47.4702,-3.001,0.899,-2.808
12.54853,-47.4692,-3.005,0.827,-2.8
12.54953,-47.4702,-3.052,0.717,-2.8
12.54953,-47.4712,-3.022,0.906,-2.79
12.54953,-47.4702,-2.914,0.863,-2.805
12.54953,-47.4722,-2.683,1.023,-2.795
12.55853,-47.4772,-2.975,0.764,-2.796
12.55753,-47.4732,-2.84,0.946,-2.787
12.55753,-47.4762,-2.649,0.865,-2.8
12.55653,-47.4802,-2.288,0.974,-2.809
12.55753,-47.4842,-2.468,0.769,-2.808
12.55653,-47.4812,-2.815,0.635,-2.801
12.55553,-47.4762,-3.07,0.725,-2.8
12.55453,-47.4792,-2.784,0.773,-2.795
12.55453,-47.4822,-2.705,0.785,-2.805
12.55353,-47.4852,-2.509,0.845,-2.798
12.55453,-47.4852,-2.596,0.657,-2.812
12.55153,-47.4812,-2.665,0.84,-2.805
12.55353,-47.4822,-2.984,0.631,-2.812
12.55253,-47.4782,-3.082,0.804,-2.797
12.55253,-47.4732,-3.053,0.617,-2.803
12.55153,-47.4772,-2.651,0.825,-2.796
12.55253,-47.4812,-2.771,0.771,-2.794
12.55253,-47.4772,-2.661,0.881,-2.788
12.55253,-47.4792,-2.587,0.917,-2.794
12.55153,-47.4812,-2.447,1.005,-2.797
12.55253,-47.4822,-2.432,0.873,-2.802
12.55253,-47.4822,-2.559,0.836,-2.805
12.55253,-47.4822,-2.559,0.705,-2.81
12.55153,-47.4852,-2.723,0.705,-2.802
12.55253,-47.4812,-2.999,0.655,-2.801
12.55253,-47.4782,-2.864,0.8,-2.798
12.55153,-47.4802,-2.79,0.812,-2.796
12.55153,-47.4812,-2.745,0.873,-2.8
12.55153,-47.4812,-2.665,0.885,-2.796
12.55153,-47.4842,-2.677,0.797,-2.805
12.55153,-47.4832,-2.615,0.648,-2.795
12.55153,-47.4862,-2.805,0.725,-2.805
12.55153,-47.4832,-2.696,0.903,-2.801
12.55253,-47.4842,-2.677,0.659,-2.808
12.55053,-47.4852,-2.708,0.761,-2.801
12.55053,-47.4882,-2.811,0.637,-2.798
12.55253,-47.4882,-2.644,0.737,-2.794
12.55153,-47.4912,-2.601,0.83,-2.798
12.55153,-47.4912,-2.54,0.895,-2.798
12.55253,-47.4962,-2.523,0.801,-2.802
12.55153,-47.4982,-2.504,0.789,-2.798
12.55253,-47.5002,-2.556,0.707,-2.802
12.55253,-47.4972,-2.458,0.781,-2.797
12.55053,-47.5022,-2.492,0.8,-2.794
12.55053,-47.5052,-2.362,0.747,-2.793
12.54853,-47.5132,-2.134,0.759,-2.794
12.54753,-47.5172,-2.101,0.772,-2.797
12.54653,-47.5232,-2.04,0.641,-2.794
12.54353,-47.5352,-1.991,0.619,-2.792
12.54053,-47.5472,-1.831,0.633,-2.789
12.53353,-47.5712,-1.498,0.573,-2.794
12.53053,-47.5762,-1.47,0.658,-2.792
12.51353,-47.5782,-1.647,0.596,-2.798
12.51553,-47.5692,-1.698,0.674,-2.795
12.51653,-47.5632,-1.792,0.542,-2.802
12.51753,-47.5592,-1.948,0.674,-2.801
12.51353,-47.5512,-2.204,0.6,-2.809
12.51153,-47.5512,-2.296,0.646,-2.795
12.51253,-47.5532,-2.363,0.448,-2.809
12.51153,-47.5562,-2.356,0.797,-2.789
12.51253,-47.5572,-2.305,0.426,-2.808
12.51053,-47.5602,-1.97,0.791,-2.792
12.51253,-47.5662,-2.331,0.499,-2.805
12.50953,-47.5562,-2.162,0.776,-2.8
12.51153,-47.5622,-2.053,0.472,-2.802
12.51353,-47.5672,-2.106,0.578,-2.8
12.51253,-47.5672,-2.132,0.567,-2.801
12.51253,-47.5672,-2.121,0.585,-2.798
12.51353,-47.5652,-2.09,0.57,-2.804
12.51253,-47.5642,-2.069,0.469,-2.797
12.51153,-47.5642,-2.135,0.503,-2.8
