x (nm),y (nm),stmz (nm),tunneling current (pA),Force (N)
13.533,-47.71,0.223,-144.716,1.554
13.532,-47.71,0.223,-144.716,1.557
13.532,-47.711,0.223,-144.716,1.556
13.532,-47.711,0.223,-144.716,1.556
13.526,-47.714,0.223,-143.654,1.557
13.526,-47.714,0.223,-143.654,1.549
13.526,-47.714,0.223,-143.654,1.548
13.525,-47.715,0.223,-143.654,1.549
13.525,-47.715,0.223,-143.654,1.549
13.525,-47.715,0.223,-143.654,1.549
13.522,-47.719,0.223,-143.654,1.551
13.522,-47.72,0.222,-143.654,1.55
13.522,-47.72,0.222,-143.654,1.55
13.521,-47.721,0.222,-143.654,1.551
13.521,-47.72,0.222,-143.654,1.555
13.521,-47.721,0.222,-143.654,1.554
13.521,-47.721,0.222,-143.654,1.552
13.52,-47.727,0.222,-145.809,1.551
13.52,-47.727,0.222,-145.809,1.565
13.52,-47.727,0.222,-145.809,1.566
13.52,-47.727,0.222,-145.809,1.565
13.52,-47.728,0.222,-145.809,1.566
13.519,-47.728,0.222,-145.809,1.566
13.516,-47.735,0.222,-146.42,1.567
13.516,-47.735,0.222,-146.42,1.571
13.515,-47.736,0.222,-146.42,1.571
13.515,-47.737,0.222,-146.42,1.572
13.515,-47.738,0.222,-146.42,1.572
13.514,-47.738,0.222,-146.42,1.572
13.514,-47.738,0.222,-146.42,1.572
13.506,-47.748,0.222,-146.42,1.576
13.504,-47.749,0.221,-146.42,1.575
13.503,-47.751,0.221,-145.723,1.573
13.502,-47.751,0.221,-145.723,1.567
13.502,-47.751,0.221,-145.723,1.567
13.489,-47.764,0.221,-145.723,1.566
13.487,-47.766,0.221,-145.723,1.566
13.487,-47.766,0.221,-145.723,1.567
13.486,-47.767,0.221,-145.723,1.567
13.486,-47.767,0.221,-145.723,1.567
13.485,-47.768,0.221,-145.723,1.567
13.475,-47.778,0.221,-145.723,1.567
13.474,-47.779,0.22,-145.723,1.567
13.474,-47.779,0.22,-145.723,1.567
13.473,-47.779,0.22,-145.723,1.567
13.473,-47.78,0.22,-145.723,1.567
13.471,-47.781,0.22,-142.838,1.567
13.461,-47.792,0.22,-142.838,1.547
13.46,-47.793,0.22,-142.838,1.548
13.46,-47.793,0.22,-142.838,1.548
13.458,-47.794,0.22,-142.838,1.547
13.457,-47.795,0.22,-142.838,1.548
13.457,-47.796,0.22,-142.838,1.549
13.456,-47.796,0.22,-144.662,1.548
13.455,-47.797,0.22,-144.662,1.561
13.435,-47.814,0.22,-144.662,1.558
13.434,-47.816,0.219,-144.662,1.557
13.433,-47.817,0.219,-144.662,1.559
13.433,-47.817,0.219,-144.662,1.559
13.431,-47.818,0.219,-144.662,1.56
13.429,-47.82,0.219,-144.662,1.556
13.404,-47.838,0.219,-144.662,1.549
13.402,-47.84,0.219,-146.996,1.546
13.401,-47.841,0.219,-146.996,1.563
13.399,-47.842,0.219,-146.996,1.564
13.398,-47.843,0.219,-146.996,1.564
13.396,-47.844,0.22,-146.996,1.564
13.375,-47.859,0.22,-146.996,1.551
13.374,-47.86,0.22,-146.996,1.55
13.372,-47.861,0.22,-146.996,1.55
13.371,-47.862,0.22,-148.579,1.549
13.37,-47.862,0.221,-148.579,1.56
13.368,-47.864,0.221,-148.579,1.56
13.367,-47.864,0.221,-148.579,1.56
13.366,-47.865,0.221,-148.579,1.56
13.335,-47.879,0.222,-147.208,1.548
13.333,-47.88,0.223,-147.208,1.536
13.332,-47.881,0.223,-147.208,1.539
13.329,-47.881,0.223,-147.208,1.542
13.293,-47.887,0.223,-147.208,1.543
13.29,-47.887,0.226,-147.1,1.543
13.289,-47.886,0.226,-147.1,1.544
13.286,-47.887,0.226,-147.1,1.547
13.285,-47.887,0.226,-147.1,1.545
13.283,-47.887,0.226,-147.1,1.542
13.28,-47.886,0.226,-147.1,1.546
13.254,-47.88,0.226,-148.77,1.547
13.251,-47.879,0.228,-148.77,1.561
13.251,-47.879,0.228,-148.77,1.558
13.249,-47.877,0.228,-144.548,1.556
13.248,-47.877,0.228,-144.548,1.528
13.248,-47.877,0.228,-144.548,1.526
13.246,-47.877,0.228,-144.548,1.524
13.244,-47.877,0.228,-144.548,1.523
13.219,-47.871,0.229,-140.469,1.517
13.218,-47.871,0.23,-140.469,1.489
13.215,-47.87,0.231,-140.469,1.488
13.211,-47.869,0.231,-140.469,1.486
13.208,-47.869,0.231,-140.469,1.487
13.184,-47.865,0.231,-140.469,1.5
13.183,-47.865,0.233,-140.469,1.498
13.181,-47.865,0.233,-140.469,1.495
13.181,-47.865,0.233,-140.469,1.494
13.179,-47.865,0.233,-140.469,1.501
13.177,-47.864,0.233,-140.469,1.498
13.175,-47.864,0.233,-140.469,1.501
13.152,-47.863,0.233,-140.469,1.503
13.148,-47.862,0.235,-137.951,1.495
13.146,-47.862,0.235,-137.951,1.472
13.145,-47.862,0.235,-137.951,1.479
13.143,-47.861,0.235,-137.951,1.481
13.141,-47.862,0.235,-137.951,1.478
13.141,-47.861,0.235,-137.951,1.481
13.118,-47.859,0.235,-134.909,1.48
13.116,-47.858,0.237,-134.909,1.462
13.116,-47.858,0.237,-134.909,1.46
13.114,-47.858,0.237,-134.909,1.462
13.111,-47.858,0.237,-134.909,1.463
13.111,-47.858,0.237,-134.909,1.463
13.082,-47.856,0.237,-121.924,1.467
13.08,-47.856,0.239,-121.924,1.369
13.077,-47.857,0.239,-121.924,1.37
13.075,-47.856,0.239,-121.924,1.373
13.073,-47.855,0.239,-121.767,1.377
13.034,-47.854,0.239,-121.767,1.38
13.033,-47.854,0.239,-121.767,1.381
13.03,-47.854,0.239,-121.767,1.382
13.028,-47.854,0.239,-121.767,1.381
13.026,-47.854,0.239,-121.767,1.379
13.024,-47.854,0.239,-121.767,1.377
13.023,-47.854,0.239,-106.511,1.379
13.021,-47.854,0.239,-106.511,1.256
12.984,-47.851,0.239,-106.511,1.272
12.983,-47.851,0.239,-106.511,1.272
12.98,-47.851,0.239,-106.511,1.266
12.979,-47.851,0.239,-106.511,1.268
12.977,-47.851,0.239,-106.511,1.269
12.975,-47.851,0.239,-106.511,1.266
12.973,-47.851,0.239,-106.511,1.263
12.971,-47.851,0.239,-106.511,1.267
12.936,-47.849,0.238,-106.511,1.262
12.933,-47.849,0.238,-106.319,1.261
12.93,-47.849,0.238,-106.319,1.259
12.929,-47.849,0.238,-106.319,1.259
12.926,-47.849,0.238,-106.319,1.259
12.925,-47.849,0.238,-106.319,1.259
12.923,-47.849,0.238,-106.319,1.259
12.884,-47.85,0.238,-106.319,1.259
12.881,-47.85,0.238,-106.319,1.259
12.879,-47.85,0.238,-106.319,1.259
12.876,-47.85,0.238,-106.319,1.258
12.875,-47.85,0.238,-106.319,1.258
12.874,-47.85,0.238,-106.319,1.258
12.871,-47.85,0.238,-106.319,1.258
12.842,-47.848,0.238,-106.319,1.258
12.838,-47.848,0.238,-99.77,1.258
12.836,-47.848,0.238,-99.77,1.201
12.835,-47.848,0.238,-99.77,1.2
12.833,-47.848,0.238,-99.77,1.201
12.831,-47.847,0.238,-99.77,1.202
12.83,-47.847,0.238,-99.77,1.202
12.8,-47.845,0.238,-99.77,1.202
12.798,-47.845,0.238,-99.77,1.202
12.796,-47.844,0.238,-99.77,1.2
12.795,-47.844,0.238,-99.77,1.201
12.792,-47.844,0.238,-99.77,1.201
12.791,-47.843,0.238,-99.77,1.2
12.788,-47.843,0.238,-99.77,1.2
12.762,-47.837,0.238,-99.77,1.195
12.76,-47.837,0.238,-99.686,1.195
12.759,-47.836,0.238,-99.686,1.195
12.758,-47.836,0.239,-99.686,1.196
12.755,-47.835,0.239,-99.686,1.197
12.754,-47.835,0.239,-99.686,1.197
12.753,-47.834,0.239,-99.686,1.197
12.724,-47.828,0.239,-99.686,1.192
12.722,-47.827,0.239,-97.359,1.19
12.72,-47.826,0.239,-97.359,1.173
12.72,-47.826,0.239,-97.359,1.173
12.719,-47.827,0.239,-97.359,1.171
12.716,-47.826,0.239,-97.359,1.172
12.715,-47.827,0.239,-97.359,1.17
12.714,-47.826,0.239,-97.359,1.169
12.712,-47.826,0.239,-97.359,1.171
12.677,-47.821,0.239,-96.826,1.166
12.674,-47.821,0.24,-96.826,1.161
12.672,-47.821,0.24,-96.826,1.162
12.669,-47.821,0.24,-96.826,1.161
12.668,-47.82,0.24,-96.826,1.161
12.667,-47.82,0.24,-97.743,1.161
12.664,-47.82,0.24,-97.743,1.171
12.621,-47.818,0.24,-97.743,1.164
12.619,-47.818,0.242,-97.743,1.167
12.616,-47.817,0.242,-97.743,1.167
12.614,-47.817,0.242,-97.743,1.168
12.614,-47.817,0.242,-97.743,1.168
12.61,-47.817,0.242,-97.743,1.167
12.607,-47.818,0.242,-97.743,1.166
12.56,-47.822,0.242,-97.743,1.165
12.558,-47.823,0.243,-99.338,1.167
12.554,-47.822,0.243,-99.338,1.187
12.552,-47.823,0.243,-99.338,1.187
12.551,-47.823,0.243,-99.338,1.187
12.549,-47.823,0.243,-99.338,1.187
12.545,-47.823,0.243,-99.338,1.187
12.543,-47.824,0.243,-99.338,1.184
12.502,-47.827,0.243,-99.338,1.189
12.499,-47.828,0.244,-99.338,1.19
12.496,-47.827,0.244,-99.338,1.187
12.495,-47.827,0.244,-99.338,1.186
12.492,-47.828,0.244,-99.338,1.186
12.49,-47.828,0.244,-99.338,1.187
12.489,-47.828,0.244,-99.338,1.187
12.455,-47.828,0.244,-99.897,1.189
12.453,-47.829,0.245,-99.897,1.193
12.451,-47.828,0.245,-99.897,1.191
12.45,-47.828,0.245,-99.342,1.19
12.447,-47.828,0.245,-99.342,1.189
12.445,-47.828,0.245,-99.342,1.187
12.408,-47.828,0.245,-99.342,1.182
12.407,-47.83,0.246,-98.987,1.182
12.406,-47.83,0.246,-98.987,1.176
12.403,-47.83,0.246,-98.987,1.172
12.401,-47.831,0.246,-98.987,1.172
12.4,-47.83,0.247,-98.987,1.171
12.399,-47.83,0.247,-98.987,1.173
12.398,-47.831,0.247,-98.987,1.176
12.395,-47.831,0.247,-98.987,1.172
12.361,-47.835,0.247,-98.575,1.169
12.359,-47.836,0.248,-98.575,1.166
12.358,-47.836,0.248,-98.575,1.167
12.355,-47.837,0.248,-98.575,1.161
12.354,-47.837,0.249,-98.575,1.162
12.352,-47.838,0.249,-98.575,1.164
12.349,-47.839,0.249,-98.575,1.166
12.309,-47.849,0.249,-89.252,1.169
12.307,-47.85,0.25,-89.252,1.082
12.306,-47.85,0.25,-89.252,1.079
12.302,-47.852,0.251,-89.252,1.084
12.301,-47.852,0.251,-89.252,1.084
12.299,-47.853,0.251,-89.252,1.084
12.297,-47.854,0.251,-89.252,1.086
12.296,-47.854,0.251,-89.252,1.09
12.252,-47.871,0.251,-89.252,1.093
12.249,-47.872,0.252,-89.252,1.091
12.247,-47.872,0.252,-89.252,1.094
12.246,-47.873,0.252,-89.252,1.096
12.242,-47.875,0.252,-89.252,1.093
12.242,-47.875,0.252,-89.252,1.093
12.24,-47.875,0.252,-89.252,1.092
12.237,-47.877,0.252,-89.252,1.092
12.235,-47.877,0.252,-89.252,1.091
12.192,-47.899,0.252,-89.319,1.088
12.188,-47.902,0.254,-89.319,1.088
12.185,-47.903,0.254,-89.319,1.086
12.18,-47.906,0.254,-89.319,0
12.14,-47.931,0.254,-89.319,1.094
12.137,-47.933,0.255,-89.319,1.093
12.135,-47.935,0.255,-87.391,1.093
12.132,-47.937,0.255,-87.391,1.075
12.13,-47.937,0.255,-87.391,1.074
12.128,-47.939,0.255,-87.391,1.074
12.097,-47.965,0.255,-87.391,1.075
12.095,-47.966,0.256,-87.391,1.074
12.093,-47.968,0.257,-87.391,1.075
12.092,-47.969,0.257,-87.391,1.075
12.091,-47.968,0.257,-87.391,1.078
12.088,-47.971,0.257,-87.391,1.075
12.086,-47.973,0.257,-87.391,1.079
12.058,-47.995,0.257,-87.391,1.077
12.057,-47.997,0.258,-85.219,1.075
12.056,-47.998,0.258,-85.219,1.058
12.054,-48,0.258,-85.219,1.06
12.052,-48.001,0.258,-85.219,1.063
12.051,-48.001,0.258,-85.219,1.063
12.049,-48.003,0.258,-85.219,1.065
12.024,-48.024,0.258,-85.196,1.071
12.023,-48.026,0.258,-85.196,1.072
12.022,-48.027,0.258,-85.196,1.072
12.02,-48.028,0.258,-85.196,1.076
12.017,-48.031,0.258,-85.196,1.076
12.003,-48.047,0.258,-85.196,1.066
12.002,-48.048,0.258,-75.956,1.066
12.001,-48.049,0.258,-75.956,0.974
12,-48.05,0.258,-75.956,0.975
11.999,-48.051,0.258,-75.956,0.976
11.998,-48.053,0.258,-75.956,0.972
11.997,-48.053,0.258,-75.956,0.972
11.975,-48.071,0.258,-75.956,0.987
11.975,-48.073,0.258,-75.956,0.99
11.974,-48.074,0.258,-75.956,0.991
11.972,-48.075,0.258,-75.956,0.995
11.972,-48.075,0.258,-75.956,0.997
11.969,-48.077,0.258,-75.956,0.997
11.969,-48.078,0.258,-75.956,0.995
11.944,-48.097,0.258,-68.455,0.994
11.944,-48.098,0.257,-68.455,0.917
11.941,-48.1,0.257,-68.455,0.919
11.941,-48.101,0.257,-68.455,0.919
11.939,-48.102,0.257,-68.455,0.92
11.938,-48.103,0.257,-68.455,0.924
11.936,-48.104,0.257,-68.455,0.926
11.933,-48.107,0.257,-68.455,0.925
11.906,-48.129,0.257,-67.786,0.915
11.905,-48.131,0.256,-67.786,0.916
11.904,-48.132,0.256,-67.786,0.916
11.902,-48.133,0.256,-67.786,0.915
11.898,-48.137,0.255,-67.786,0.915
11.897,-48.137,0.255,-67.786,0.915
11.872,-48.162,0.255,-67.786,0.917
11.869,-48.164,0.254,-64.919,0.917
11.869,-48.166,0.254,-64.919,0.888
11.868,-48.166,0.254,-64.919,0.887
11.867,-48.169,0.254,-64.919,0.886
11.866,-48.17,0.254,-64.919,0.886
11.865,-48.171,0.254,-64.919,0.885
11.838,-48.202,0.254,-64.919,0.887
11.836,-48.204,0.253,-63.823,0.888
11.834,-48.207,0.253,-63.823,0.877
11.832,-48.209,0.253,-63.823,0.877
11.83,-48.212,0.252,-63.823,0.878
11.83,-48.213,0.252,-63.823,0.878
11.829,-48.214,0.252,-63.823,0.877
11.804,-48.243,0.252,-63.823,0.876
11.803,-48.245,0.251,-63.823,0.874
11.801,-48.247,0.251,-63.823,0.874
11.8,-48.248,0.251,-63.823,0.875
11.798,-48.25,0.251,-63.823,0.874
11.798,-48.252,0.251,-63.823,0.875
11.781,-48.274,0.251,-63.823,0.879
11.78,-48.276,0.25,-63.277,0.878
11.78,-48.277,0.249,-63.277,0.871
11.779,-48.279,0.249,-63.277,0.869
11.778,-48.28,0.249,-63.277,0.869
11.777,-48.282,0.249,-63.277,0.868
11.776,-48.283,0.249,-63.277,0.868
11.776,-48.284,0.249,-63.277,0.868
11.765,-48.307,0.249,-64.518,0.862
11.764,-48.311,0.248,-64.518,0.875
11.763,-48.312,0.248,-64.518,0.874
11.762,-48.314,0.248,-64.518,0.876
11.762,-48.315,0.248,-64.518,0.874
11.761,-48.317,0.248,-64.738,0.874
11.746,-48.347,0.248,-64.738,0.877
11.744,-48.349,0.248,-64.738,0.877
11.744,-48.35,0.248,-68.99,0.876
11.743,-48.351,0.247,-68.99,0.92
11.742,-48.352,0.247,-68.99,0.923
11.741,-48.353,0.247,-68.99,0.921
11.741,-48.354,0.247,-68.99,0.919
11.739,-48.357,0.247,-68.99,0.92
11.721,-48.384,0.247,-68.13,0.913
11.72,-48.386,0.247,-68.13,0.904
11.719,-48.389,0.247,-68.13,0.908
11.718,-48.389,0.247,-68.13,0.906
11.718,-48.39,0.247,-68.13,0.905
11.717,-48.392,0.247,-68.13,0.906
11.716,-48.393,0.247,-68.13,0.905
11.703,-48.415,0.247,-68.13,0.916
11.703,-48.416,0.246,-71.445,0.916
11.702,-48.416,0.246,-71.445,0.949
11.702,-48.417,0.246,-71.445,0.949
11.701,-48.419,0.246,-71.445,0.951
11.701,-48.42,0.246,-71.445,0.95
11.7,-48.42,0.246,-71.445,0.949
11.699,-48.422,0.246,-71.445,0.949
11.687,-48.438,0.246,-71.018,0.942
11.686,-48.439,0.246,-71.018,0.943
11.686,-48.44,0.246,-71.018,0.943
11.686,-48.441,0.246,-71.018,0.943
11.685,-48.442,0.246,-71.018,0
11.685,-48.443,0.245,-71.018,0.945
11.684,-48.444,0.245,-71.018,0.945
11.684,-48.445,0.245,-71.018,0.944
11.678,-48.46,0.245,-71.018,0.937
11.678,-48.461,0.245,-71.936,0.938
11.677,-48.463,0.245,-71.936,0.946
11.677,-48.464,0.245,-71.936,0.948
11.677,-48.464,0.245,-71.936,0.948
11.677,-48.466,0.245,-71.936,0.943
11.676,-48.467,0.245,-71.936,0.946
11.67,-48.488,0.245,-71.936,0.935
11.67,-48.489,0.245,-71.936,0.936
11.67,-48.49,0.245,-71.936,0.936
11.67,-48.491,0.245,-71.936,0.937
11.67,-48.491,0.245,-71.936,0.933
11.669,-48.493,0.245,-71.936,0.936
11.669,-48.494,0.245,-71.936,0.933
11.668,-48.494,0.245,-71.936,0.933
11.662,-48.515,0.245,-70.671,0.937
11.661,-48.516,0.246,-70.671,0.925
11.661,-48.517,0.246,-70.671,0.926
11.66,-48.518,0.246,-70.671,0.924
11.66,-48.519,0.246,-70.671,0.925
11.66,-48.52,0.246,-70.671,0.926
11.659,-48.522,0.246,-70.671,0.927
11.649,-48.544,0.246,-70.671,0.927
11.648,-48.545,0.246,-69.737,0.927
11.648,-48.546,0.246,-69.737,0.918
11.647,-48.547,0.246,-69.737,0.918
11.646,-48.549,0.246,-69.737,0.919
11.646,-48.55,0.246,-69.737,0.919
11.645,-48.551,0.246,-69.737,0.919
11.644,-48.552,0.246,-69.737,0.922
11.634,-48.562,0.246,-69.737,0.924
11.633,-48.578,0.246,-69.737,0.924
11.632,-48.579,0.245,-69.737,0.925
11.632,-48.581,0.245,-69.737,0.923
11.632,-48.583,0.245,-69.177,0.927
11.631,-48.584,0.245,-69.177,0.918
11.626,-48.606,0.245,-69.177,0.922
11.626,-48.609,0.245,-69.177,0.92
11.626,-48.609,0.245,-69.177,0.923
11.626,-48.611,0.245,-69.177,0.921
11.625,-48.613,0.245,-69.177,0.92
11.625,-48.613,0.245,-69.177,0.923
11.625,-48.615,0.245,-69.177,0.921
11.625,-48.617,0.245,-67.466,0.92
11.622,-48.641,0.245,-67.466,0.912
11.622,-48.643,0.244,-67.466,0.913
11.621,-48.645,0.244,-67.23,0.913
11.621,-48.646,0.244,-67.23,0.911
11.621,-48.647,0.244,-67.23,0.911
11.621,-48.649,0.244,-67.23,0.911
11.617,-48.675,0.244,-67.23,0.915
11.616,-48.676,0.242,-66.38,0.915
11.616,-48.677,0.242,-66.38,0.905
11.616,-48.68,0.242,-66.38,0.906
11.616,-48.681,0.242,-66.38,0.905
11.616,-48.683,0.242,-66.38,0.904
11.616,-48.684,0.242,-66.38,0.903
11.616,-48.686,0.242,-66.38,0.91
11.614,-48.713,0.241,-66.38,0.905
11.614,-48.714,0.24,-66.38,0.906
11.614,-48.715,0.24,-66.38,0.908
11.614,-48.717,0.24,-66.38,0.906
11.614,-48.718,0.24,-66.38,0.905
11.614,-48.719,0.24,-66.38,0.904
11.614,-48.72,0.24,-66.38,0.902
11.614,-48.721,0.24,-66.38,0.902
11.615,-48.745,0.24,-64.051,0.899
11.614,-48.745,0.239,-64.051,0.876
11.614,-48.746,0.239,-64.051,0.875
11.614,-48.747,0.239,-64.051,0.874
11.614,-48.748,0.239,-64.051,0.875
11.615,-48.749,0.239,-64.051,0.876
11.614,-48.75,0.239,-64.051,0.878
11.614,-48.751,0.239,-64.051,0.881
11.614,-48.752,0.239,-64.051,0.88
11.614,-48.771,0.239,-64.051,0.88
11.614,-48.772,0.237,-64.051,0.88
11.613,-48.774,0.237,-64.051,0.883
11.613,-48.774,0.237,-64.051,0.882
11.614,-48.776,0.237,-64.051,0
11.613,-48.778,0.237,-64.051,0.882
11.613,-48.779,0.237,-64.051,0.881
11.61,-48.798,0.237,-62.737,0.871
11.61,-48.8,0.236,-62.737,0.855
11.61,-48.801,0.236,-62.737,0.857
11.61,-48.802,0.236,-62.737,0.855
11.609,-48.803,0.236,-62.737,0.856
11.606,-48.817,0.235,-62.737,0.855
11.606,-48.818,0.235,-60.721,0.856
11.606,-48.819,0.235,-60.721,0.834
11.606,-48.819,0.235,-61.213,0.833
11.606,-48.82,0.235,-61.213,0.839
11.605,-48.821,0.235,-61.213,0.841
11.605,-48.822,0.235,-61.213,0.841
11.6,-48.837,0.235,-61.213,0.841
11.599,-48.837,0.234,-64.494,0.842
11.599,-48.837,0.234,-64.494,0.875
11.599,-48.838,0.234,-64.494,0.874
11.598,-48.839,0.234,-64.494,0.876
11.597,-48.84,0.234,-64.494,0.876
11.597,-48.841,0.234,-64.494,0.873
11.596,-48.842,0.234,-64.494,0.871
11.588,-48.857,0.234,-63.46,0.877
11.588,-48.857,0.233,-63.46,0.864
11.587,-48.857,0.233,-63.46,0.863
11.587,-48.858,0.233,-63.46,0.864
11.587,-48.858,0.233,-63.46,0.865
11.586,-48.859,0.233,-63.46,0.865
11.585,-48.86,0.233,-67.151,0.866
11.585,-48.861,0.233,-67.151,0.905
11.578,-48.876,0.233,-67.151,0.901
11.577,-48.878,0.232,-67.151,0.899
11.577,-48.879,0.232,-67.151,0.901
11.577,-48.879,0.232,-67.151,0.9
11.576,-48.88,0.232,-67.151,0.896
11.576,-48.881,0.232,-67.151,0.898
11.575,-48.883,0.232,-67.151,0.899
11.574,-48.883,0.232,-67.137,0.899
11.574,-48.884,0.232,-67.137,0.901
11.566,-48.905,0.232,-67.137,0.898
11.566,-48.905,0.232,-67.137,0.9
11.565,-48.907,0.232,-67.137,0.898
11.565,-48.908,0.232,-67.137,0.899
11.565,-48.909,0.232,-67.137,0.901
11.564,-48.91,0.232,-67.137,0.899
11.564,-48.911,0.232,-67.137,0.899
11.561,-48.929,0.232,-67.137,0.897
11.561,-48.931,0.231,-67.111,0.899
11.561,-48.932,0.231,-67.111,0.897
11.56,-48.932,0.231,-67.111,0.897
11.56,-48.934,0.231,-67.111,0.894
11.56,-48.934,0.231,-67.111,0.894
11.56,-48.935,0.231,-67.111,0.897
11.559,-48.937,0.231,-67.111,0.897
11.556,-48.955,0.231,-65.135,0.899
11.556,-48.957,0.231,-65.135,0.876
11.555,-48.958,0.231,-65.135,0.878
11.555,-48.96,0.231,-65.135,0.878
11.555,-48.961,0.231,-65.135,0.876
11.554,-48.961,0.231,-65.135,0.879
11.554,-48.962,0.231,-65.135,0.88
11.552,-48.977,0.231,-65.135,0.887
11.551,-48.979,0.23,-64.052,0.886
11.551,-48.98,0.23,-64.052,0.877
11.551,-48.981,0.23,-64.052,0.879
11.551,-48.983,0.23,-64.052,0.88
11.551,-48.984,0.23,-64.052,0.878
11.546,-49.004,0.229,-64.052,0.88
11.546,-49.005,0.228,-64.052,0.879
11.546,-49.006,0.228,-64.052,0.879
11.546,-49.007,0.228,-64.052,0.883
11.546,-49.008,0.228,-64.052,0.882
11.546,-49.009,0.228,-64.052,0.878
11.545,-49.011,0.228,-62.976,0.883
11.542,-49.031,0.227,-62.976,0.863
11.542,-49.031,0.226,-62.976,0.86
11.542,-49.033,0.226,-62.976,0.862
11.542,-49.034,0.226,-62.976,0.864
11.542,-49.035,0.226,-62.976,0.863
11.542,-49.036,0.226,-62.976,0.863
11.542,-49.038,0.226,-62.976,0.864
11.541,-49.038,0.226,-62.976,0.866
11.539,-49.06,0.226,-62.928,0.855
11.539,-49.06,0.226,-62.928,0.856
11.538,-49.062,0.226,-62.928,0.854
11.538,-49.063,0.226,-62.928,0.852
11.538,-49.065,0.226,-62.928,0.853
11.538,-49.065,0.226,-62.928,0.857
11.537,-49.067,0.225,-62.928,0.854
11.531,-49.093,0.225,-62.928,0.852
11.531,-49.094,0.225,-62.928,0.855
11.531,-49.095,0.225,-62.928,0.856
11.53,-49.096,0.225,-62.928,0.855
11.53,-49.097,0.225,-62.928,0.856
11.529,-49.098,0.225,-62.928,0.854
11.529,-49.101,0.225,-62.928,0.853
11.52,-49.118,0.225,-62.928,0.861
11.52,-49.119,0.224,-59.929,0.859
11.52,-49.119,0.224,-59.929,0.828
11.519,-49.121,0.224,-59.929,0.823
11.518,-49.122,0.224,-59.929,0.826
11.518,-49.124,0.224,-59.929,0.829
11.506,-49.143,0.224,-59.929,0.831
11.505,-49.144,0.223,-59.929,0.831
11.504,-49.145,0.223,-58.685,0.832
11.503,-49.146,0.223,-58.685,0.819
11.503,-49.147,0.223,-58.685,0.818
11.502,-49.149,0.223,-58.685,0.82
11.5,-49.149,0.223,-58.685,0.825
11.487,-49.171,0.223,-57.428,0.824
11.485,-49.174,0.222,-57.428,0.81
11.485,-49.174,0.221,-57.428,0.808
11.483,-49.176,0.221,-57.428,0.81
11.483,-49.178,0.221,-57.428,0.81
11.481,-49.179,0.221,-57.428,0.808
11.468,-49.2,0.221,-56.481,0.817
11.466,-49.201,0.22,-56.481,0.805
11.465,-49.203,0.22,-56.481,0.804
11.465,-49.205,0.22,-56.481,0.802
11.464,-49.205,0.219,-56.481,0.797
11.463,-49.208,0.219,-56.481,0.8
11.453,-49.229,0.219,-56.481,0.799
11.453,-49.231,0.218,-57.874,0.803
11.452,-49.231,0.218,-57.874,0.817
11.451,-49.233,0.218,-57.874,0.813
11.451,-49.235,0.218,-57.874,0.812
11.451,-49.236,0.218,-57.874,0.811
11.448,-49.255,0.217,-57.874,0.808
11.448,-49.256,0.217,-57.874,0.808
11.448,-49.257,0.216,-57.874,0.808
11.448,-49.259,0.216,-57.874,0.81
11.448,-49.26,0.216,-57.874,0.81
11.448,-49.261,0.216,-57.874,0.809
11.449,-49.278,0.216,-55.696,0.812
11.449,-49.279,0.215,-55.696,0.792
11.449,-49.281,0.215,-55.696,0.789
11.448,-49.281,0.215,-55.696,0.788
11.449,-49.284,0.215,-56.995,0.788
11.449,-49.284,0.215,-56.995,0.806
11.448,-49.301,0.215,-56.995,0.803
11.448,-49.302,0.213,-56.995,0.81
11.448,-49.303,0.213,-56.995,0.806
11.447,-49.306,0.213,-56.995,0.811
11.447,-49.307,0.213,-56.995,0.812
11.447,-49.309,0.213,-56.995,0.811
11.444,-49.327,0.213,-57.396,0.807
11.444,-49.328,0.211,-57.396,0.812
11.443,-49.329,0.211,-57.396,0.813
11.442,-49.331,0.211,-57.396,0.81
11.442,-49.331,0.211,-57.396,0.813
11.442,-49.332,0.211,-57.396,0.814
11.442,-49.334,0.211,-58.31,0.812
11.442,-49.335,0.211,-58.31,0.818
11.437,-49.353,0.21,-58.31,0.817
11.437,-49.354,0.209,-58.31,0.815
11.437,-49.355,0.209,-58.31,0.814
11.437,-49.355,0.209,-58.31,0.814
11.436,-49.357,0.209,-58.31,0.813
11.436,-49.359,0.209,-58.31,0.813
11.434,-49.37,0.209,-58.31,0.806
11.434,-49.37,0.208,-58.31,0.806
11.434,-49.37,0.208,-58.31,0.806
11.434,-49.37,0.208,-58.31,0.804
11.434,-49.371,0.208,-58.31,0.804
11.434,-49.372,0.208,-58.31,0.804
11.434,-49.372,0.208,-58.31,0.804
11.434,-49.373,0.208,-58.31,0.805
11.434,-49.373,0.208,-58.554,0.806
11.434,-49.373,0.208,-58.554,0.805
11.434,-49.372,0.208,-58.554,0.807
11.434,-49.372,0.208,-58.554,0.809
11.434,-49.372,0.208,-58.554,0.804
11.434,-49.372,0.208,-58.554,0.806
11.434,-49.368,0.208,-58.554,0.8
11.435,-49.367,0.208,-55.633,0.806
11.435,-49.367,0.208,-55.633,0.772
11.435,-49.367,0.208,-55.633,0.774
11.435,-49.367,0.207,-55.633,0.776
11.435,-49.365,0.207,-55.633,0.772
11.433,-49.36,0.207,-55.633,0.775
11.432,-49.36,0.207,-58.523,0.773
