x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-388.104,-380.864,-12.405,1.527,-11.423
-388.089,-380.863,-12.416,1.528,-11.423
-388.073,-380.862,-12.44,1.49,-11.424
-388.041,-380.858,-12.491,1.401,-11.424
-388.003,-380.855,-12.538,1.431,-11.424
-387.984,-380.854,-12.544,1.46,-11.424
-387.956,-380.853,-12.517,1.477,-11.424
-387.943,-380.855,-12.489,1.475,-11.424
-387.92,-380.858,-12.474,1.447,-11.425
-387.896,-380.86,-12.545,1.428,-11.425
-387.86,-380.865,-12.755,1.514,-11.425
-387.847,-380.863,-12.767,1.431,-11.426
-387.841,-380.864,-12.762,1.437,-11.426
-387.834,-380.865,-12.751,1.38,-11.426
-387.82,-380.866,-12.809,1.388,-11.426
-387.796,-380.868,-12.938,1.417,-11.426
-387.787,-380.866,-12.938,1.372,-11.427
-387.783,-380.866,-12.909,1.403,-11.427
-387.781,-380.864,-12.915,1.369,-11.427
-387.776,-380.863,-12.932,1.356,-11.427
-387.759,-380.857,-13.017,1.336,-11.427
-387.758,-380.857,-13.017,1.335,-11.427
-387.757,-380.857,-13.017,1.341,-11.427
-387.752,-380.856,-13.028,1.333,-11.427
-387.743,-380.856,-13.023,1.337,-11.427
-387.725,-380.859,-13.013,1.373,-11.427
-387.713,-380.859,-13.003,1.398,-11.427
-387.709,-380.858,-12.974,1.378,-11.427
-387.71,-380.859,-12.974,1.318,-11.428
-387.706,-380.857,-13.02,1.344,-11.428
-387.697,-380.857,-13.014,1.31,-11.428
-387.686,-380.855,-13.014,1.31,-11.428
-387.686,-380.855,-13.014,1.303,-11.428
-387.682,-380.854,-13.003,1.306,-11.428
-387.674,-380.852,-12.991,1.3,-11.428
-387.671,-380.851,-12.991,1.295,-11.428
-387.658,-380.849,-12.991,1.3,-11.428
-387.651,-380.85,-13.009,1.311,-11.428
-387.607,-380.85,-13.006,1.332,-11.428
-387.564,-380.854,-13.01,1.369,-11.428
-387.514,-380.858,-12.968,1.342,-11.428
-387.484,-380.86,-12.936,1.362,-11.428
-387.469,-380.86,-12.948,1.375,-11.429
-387.443,-380.86,-12.944,1.369,-11.429
-387.419,-380.858,-12.962,1.342,-11.429
-387.385,-380.855,-12.946,1.355,-11.429
-387.359,-380.853,-12.93,1.361,-11.429
-387.338,-380.853,-12.913,1.383,-11.429
-387.321,-380.851,-12.908,1.416,-11.429
-387.314,-380.849,-12.908,1.412,-11.429
-387.285,-380.847,-12.938,1.42,-11.43
-387.271,-380.845,-12.973,1.388,-11.43
-387.252,-380.843,-13.008,1.42,-11.43
-387.217,-380.847,-12.959,1.404,-11.43
-387.192,-380.849,-12.915,1.404,-11.429
-387.174,-380.849,-12.882,1.437,-11.429
-387.171,-380.852,-12.854,1.46,-11.43
-387.171,-380.852,-12.836,1.479,-11.43
-387.169,-380.851,-12.825,1.452,-11.43
-387.17,-380.846,-12.864,1.447,-11.43
-387.171,-380.843,-12.88,1.441,-11.43
-387.171,-380.841,-12.874,1.424,-11.43
-387.171,-380.841,-12.874,1.424,-11.43
-387.17,-380.841,-12.856,1.403,-11.43
-387.167,-380.841,-12.868,1.421,-11.43
-387.165,-380.841,-12.868,1.41,-11.43
-387.165,-380.84,-12.856,1.414,-11.43
-387.165,-380.839,-12.821,1.409,-11.43
-387.165,-380.839,-12.821,1.415,-11.43
-387.165,-380.837,-12.827,1.422,-11.43
-387.161,-380.835,-12.82,1.416,-11.43
-387.158,-380.835,-12.832,1.427,-11.43
-387.158,-380.834,-12.849,1.418,-11.43
-387.158,-380.834,-12.849,1.426,-11.43
-387.158,-380.834,-12.849,1.431,-11.43
-387.161,-380.833,-12.855,1.392,-11.43
-387.161,-380.832,-12.86,1.413,-11.43
-387.162,-380.834,-12.855,1.425,-11.43
-387.16,-380.835,-12.849,1.407,-11.43
-387.162,-380.833,-12.843,1.426,-11.43
-387.161,-380.833,-12.843,1.433,-11.43
-387.161,-380.834,-12.838,1.421,-11.43
-387.159,-380.836,-12.844,1.438,-11.43
-387.159,-380.837,-12.838,1.451,-11.43
-387.159,-380.836,-12.827,1.394,-11.43
-387.16,-380.834,-12.838,1.401,-11.43
-387.161,-380.83,-12.842,1.388,-11.43
-387.162,-380.828,-12.865,1.392,-11.43
-387.161,-380.831,-12.854,1.37,-11.43
-387.162,-380.83,-12.842,1.392,-11.43
-387.167,-380.832,-12.825,1.403,-11.43
-387.172,-380.831,-12.819,1.388,-11.43
-387.174,-380.831,-12.807,1.419,-11.43
-387.176,-380.83,-12.784,1.405,-11.43
-387.173,-380.83,-12.784,1.385,-11.43
-387.183,-380.832,-12.766,1.39,-11.43
-387.183,-380.833,-12.778,1.343,-11.43
-387.181,-380.834,-12.784,1.344,-11.43
-387.177,-380.835,-12.791,1.346,-11.43
-387.179,-380.834,-12.756,1.346,-11.43
-387.181,-380.834,-12.756,1.353,-11.43
-387.183,-380.832,-12.755,1.349,-11.43
-387.185,-380.83,-12.766,1.357,-11.43
-387.183,-380.828,-12.771,1.349,-11.43
-387.181,-380.829,-12.766,1.344,-11.43
-387.18,-380.83,-12.76,1.342,-11.43
-387.181,-380.83,-12.76,1.336,-11.43
-387.183,-380.831,-12.76,1.344,-11.43
-387.183,-380.831,-12.76,1.365,-11.43
-387.182,-380.83,-12.76,1.361,-11.43
-387.179,-380.83,-12.76,1.349,-11.43
-387.179,-380.829,-12.72,1.344,-11.43
-387.179,-380.829,-12.72,1.352,-11.43
-387.18,-380.832,-12.709,1.345,-11.43
-387.181,-380.833,-12.703,1.342,-11.43
-387.181,-380.835,-12.71,1.3,-11.43
-387.173,-380.836,-12.629,1.255,-11.43
-387.173,-380.836,-12.629,1.318,-11.43
-387.176,-380.841,-12.55,1.275,-11.43
-387.175,-380.846,-12.47,1.21,-11.43
-387.175,-380.85,-12.466,1.178,-11.43
-387.174,-380.853,-12.466,1.184,-11.43
-387.173,-380.854,-12.473,1.189,-11.43
-387.174,-380.854,-12.461,1.206,-11.43
-387.174,-380.854,-12.461,1.202,-11.43
-387.174,-380.852,-12.455,1.195,-11.43
-387.174,-380.85,-12.437,1.203,-11.43
-387.174,-380.849,-12.442,1.178,-11.43
-387.174,-380.849,-12.442,1.171,-11.43
-387.175,-380.849,-12.442,1.185,-11.43
-387.175,-380.847,-12.436,1.192,-11.43
-387.175,-380.846,-12.441,1.165,-11.43
-387.175,-380.845,-12.459,1.161,-11.43
-387.175,-380.847,-12.453,1.174,-11.43
-387.175,-380.848,-12.459,1.18,-11.43
-387.174,-380.85,-12.466,1.19,-11.43
-387.174,-380.851,-12.46,1.204,-11.43
-387.174,-380.849,-12.454,1.19,-11.43
-387.176,-380.844,-12.464,1.18,-11.43
-387.177,-380.838,-12.508,1.203,-11.43
-387.177,-380.837,-12.526,1.193,-11.43
-387.177,-380.839,-12.532,1.197,-11.43
-387.176,-380.839,-12.544,1.216,-11.43
-387.176,-380.839,-12.544,1.219,-11.43
-387.176,-380.839,-12.544,1.225,-11.43
-387.176,-380.84,-12.526,1.26,-11.43
-387.176,-380.84,-12.526,1.241,-11.43
-387.176,-380.84,-12.526,1.275,-11.43
-387.177,-380.839,-12.532,1.252,-11.43
-387.177,-380.837,-12.583,1.252,-11.43
-387.177,-380.837,-12.612,1.267,-11.43
-387.177,-380.839,-12.618,1.261,-11.43
-387.177,-380.839,-12.618,1.26,-11.43
-387.177,-380.839,-12.63,1.256,-11.43
-387.175,-380.84,-12.642,1.269,-11.43
-387.172,-380.839,-12.642,1.272,-11.43
-387.167,-380.839,-12.636,1.275,-11.43
-387.16,-380.841,-12.608,1.264,-11.43
-387.16,-380.841,-12.608,1.272,-11.43
-387.159,-380.839,-12.585,1.266,-11.43
-387.16,-380.839,-12.573,1.263,-11.43
-387.159,-380.839,-12.573,1.265,-11.43
-387.154,-380.841,-12.574,1.265,-11.43
-387.155,-380.842,-12.569,1.257,-11.43
-387.154,-380.844,-12.575,1.26,-11.43
-387.154,-380.844,-12.586,1.257,-11.43
-387.152,-380.844,-12.586,1.259,-11.43
-387.146,-380.842,-12.575,1.253,-11.43
-387.14,-380.842,-12.569,1.249,-11.43
-387.126,-380.84,-12.564,1.268,-11.43
-387.116,-380.836,-12.546,1.261,-11.43
-387.114,-380.835,-12.534,1.285,-11.43
-387.116,-380.835,-12.534,1.286,-11.43
-387.116,-380.834,-12.551,1.268,-11.43
-387.116,-380.836,-12.546,1.269,-11.43
-387.117,-380.836,-12.546,1.278,-11.43
-387.12,-380.836,-12.534,1.279,-11.43
-387.125,-380.836,-12.551,1.278,-11.43
-387.125,-380.835,-12.557,1.281,-11.43
-387.125,-380.834,-12.562,1.291,-11.43
-387.126,-380.831,-12.579,1.308,-11.43
-387.125,-380.829,-12.613,1.33,-11.43
-387.126,-380.826,-12.629,1.301,-11.43
-387.126,-380.825,-12.646,1.311,-11.43
-387.121,-380.826,-12.653,1.304,-11.43
-387.116,-380.825,-12.653,1.306,-11.43
-387.109,-380.824,-12.636,1.299,-11.43
-387.084,-380.822,-12.619,1.31,-11.43
-387.051,-380.818,-12.579,1.294,-11.43
-387.036,-380.815,-12.562,1.381,-11.43
-387.011,-380.81,-12.516,1.352,-11.43
-386.989,-380.808,-12.488,1.329,-11.43
-386.969,-380.806,-12.466,1.349,-11.43
-386.957,-380.804,-12.448,1.356,-11.43
-386.953,-380.803,-12.448,1.347,-11.43
-386.949,-380.803,-12.443,1.332,-11.43
-386.948,-380.803,-12.443,1.308,-11.431
-386.945,-380.802,-12.443,1.293,-11.43
-386.938,-380.799,-12.448,1.29,-11.43
-386.926,-380.798,-12.443,1.304,-11.431
-386.909,-380.795,-12.437,1.321,-11.43
-386.856,-380.789,-12.48,1.364,-11.431
-386.82,-380.789,-12.47,1.398,-11.431
-386.794,-380.793,-12.409,1.36,-11.431
-386.761,-380.798,-12.337,1.353,-11.431
-386.715,-380.799,-12.328,1.354,-11.431
-386.696,-380.797,-12.299,1.353,-11.431
-386.674,-380.79,-12.276,1.343,-11.432
-386.676,-380.789,-12.27,1.339,-11.432
-386.673,-380.788,-12.316,1.327,-11.432
-386.662,-380.785,-12.316,1.317,-11.432
-386.65,-380.783,-12.386,1.285,-11.432
-386.643,-380.773,-12.436,1.331,-11.432
-386.638,-380.771,-12.436,1.312,-11.432
-386.631,-380.771,-12.43,1.295,-11.432
-386.618,-380.769,-12.483,1.287,-11.432
-386.605,-380.767,-12.46,1.335,-11.432
-386.594,-380.768,-12.444,1.335,-11.432
-386.582,-380.769,-12.427,1.357,-11.432
-386.564,-380.767,-12.399,1.34,-11.433
-386.548,-380.767,-12.423,1.32,-11.433
-386.555,-380.769,-12.423,1.313,-11.433
-386.558,-380.769,-12.44,1.307,-11.433
-386.557,-380.768,-12.457,1.297,-11.433
-386.559,-380.767,-12.521,1.295,-11.433
-386.56,-380.764,-12.549,1.255,-11.433
-386.562,-380.762,-12.606,1.284,-11.433
-386.563,-380.762,-12.595,1.287,-11.433
-386.563,-380.762,-12.595,1.321,-11.433
-386.561,-380.761,-12.595,1.321,-11.433
-386.561,-380.761,-12.595,1.326,-11.433
-386.563,-380.764,-12.584,1.318,-11.433
-386.564,-380.764,-12.584,1.341,-11.433
-386.565,-380.767,-12.584,1.35,-11.433
-386.563,-380.768,-12.567,1.336,-11.433
-386.557,-380.766,-12.567,1.332,-11.433
-386.554,-380.764,-12.561,1.318,-11.433
-386.555,-380.764,-12.561,1.321,-11.433
-386.555,-380.763,-12.549,1.311,-11.433
-386.555,-380.763,-12.549,1.316,-11.433
-386.555,-380.764,-12.561,1.309,-11.433
-386.555,-380.766,-12.55,1.337,-11.433
-386.556,-380.765,-12.526,1.326,-11.433
-386.556,-380.766,-12.521,1.318,-11.433
-386.556,-380.766,-12.521,1.312,-11.433
-386.556,-380.766,-12.521,1.306,-11.433
-386.557,-380.767,-12.521,1.288,-11.433
-386.559,-380.767,-12.509,1.281,-11.433
-386.56,-380.766,-12.486,1.248,-11.433
-386.56,-380.765,-12.462,1.228,-11.433
-386.56,-380.765,-12.474,1.22,-11.433
-386.561,-380.764,-12.45,1.222,-11.433
-386.561,-380.764,-12.421,1.2,-11.433
-390.265,-382.062,63.281,0,-11.433
-390.269,-382.058,63.215,0,-11.433
-390.268,-382.058,63.215,0,-11.433
-390.266,-382.057,63.231,-0.003,-11.433
-390.266,-382.054,63.255,-0.002,-11.433
-390.267,-382.049,63.245,0.004,-11.432
-390.27,-382.043,63.192,0.009,-11.432
-390.275,-382.037,63.161,0.001,-11.432
-390.277,-382.037,63.193,-0.006,-11.432
-390.278,-382.039,63.216,0,-11.432
-390.278,-382.038,63.185,0.004,-11.431
-390.276,-382.036,63.15,0.005,-11.432
-390.275,-382.032,63.123,-0.002,-11.431
-390.275,-382.032,63.131,-0.001,-11.431
-390.276,-382.029,63.136,0.003,-11.431
-390.276,-382.025,63.137,0.001,-11.431
-390.277,-382.025,63.129,-0.001,-11.431
-390.28,-382.03,63.178,-0.007,-11.431
-390.281,-382.034,63.225,0,-11.431
-390.281,-382.034,63.205,0.001,-11.431
-390.281,-382.032,63.182,0,-11.43
-390.281,-382.032,63.201,-0.003,-11.43
-390.281,-382.032,63.201,0,-11.43
-390.281,-382.032,63.201,0,-11.43
-390.281,-382.032,63.201,0,-11.43
-390.281,-382.034,63.236,-0.004,-11.43
-390.281,-382.033,63.264,-0.001,-11.43
-390.276,-382.022,63.231,0.006,-11.43
-390.273,-382.014,63.174,0.009,-11.43
-390.274,-382.005,63.087,0.008,-11.43
-390.274,-382,63.056,0.003,-11.43
-390.269,-382.002,62.963,0.016,-11.429
-390.233,-382.015,62.711,0.029,-11.429
-390.077,-382.065,61.886,0.054,-11.429
-389.945,-382.12,61.277,0.059,-11.429
-389.835,-382.178,60.802,0.057,-11.429
-389.681,-382.265,60.197,0.045,-11.429
-389.49,-382.362,59.556,0.034,-11.428
-389.361,-382.424,59.417,0.005,-11.428
-389.058,-382.537,59.46,-0.002,-11.428
-388.865,-382.587,59.421,0.006,-11.428
-388.713,-382.616,59.336,0.005,-11.427
-388.559,-382.641,59.317,0.003,-11.427
-388.278,-382.672,59.27,0.012,-11.427
-388.07,-382.684,59.071,0.022,-11.427
-388.019,-382.686,58.97,0.021,-11.427
-387.936,-382.685,58.738,0.032,-11.427
-387.874,-382.677,58.533,0.026,-11.427
-387.82,-382.649,58.183,0.028,-11.427
-387.798,-382.627,57.905,0.02,-11.427
-387.818,-382.61,57.559,0.015,-11.427
-387.829,-382.608,57.481,0.02,-11.427
-387.855,-382.599,57.084,0.043,-11.427
-387.863,-382.583,56.559,0.068,-11.427
-387.854,-382.538,55.315,0.084,-11.427
-387.843,-382.502,54.569,0.057,-11.427
-387.844,-382.478,54.274,0.03,-11.427
-387.852,-382.461,54.16,0.001,-11.428
-387.877,-382.443,54.141,0.011,-11.428
-387.889,-382.419,53.746,0.03,-11.427
-387.897,-382.395,53.469,0.019,-11.427
-387.898,-382.374,53.445,0.006,-11.428
-387.893,-382.342,53.345,0.012,-11.428
-387.88,-382.317,53.006,0.032,-11.428
-387.876,-382.291,52.476,0.054,-11.428
-387.877,-382.27,51.777,0.035,-11.428
-387.854,-382.274,51.507,0.026,-11.428
-387.816,-382.28,51.271,0.026,-11.428
-387.799,-382.282,51.147,0.027,-11.428
-387.741,-382.286,50.685,0.043,-11.428
-387.723,-382.283,50.495,0.048,-11.428
-387.693,-382.261,49.812,0.075,-11.428
-387.689,-382.223,48.805,0.116,-11.428
-387.733,-382.172,46.627,0.173,-11.428
-387.811,-382.158,43.386,0.151,-11.428
-387.835,-382.15,42.119,0.149,-11.428
-387.858,-382.124,40.215,0.154,-11.428
-387.86,-382.09,38.203,0.166,-11.428
-387.855,-382.069,36.677,0.169,-11.428
-387.86,-382.036,34.412,0.2,-11.428
-387.865,-382.019,33.486,0.206,-11.428
-387.876,-381.962,30.763,0.205,-11.428
-387.878,-381.942,29.847,0.202,-11.428
-387.88,-381.903,26.604,0.187,-11.427
-387.869,-381.89,23.437,0.163,-11.428
-387.853,-381.878,22.169,0,-11.428
-387.827,-381.859,20.762,0.144,-11.428
-387.795,-381.84,19.202,0.132,-11.428
-387.772,-381.82,17.203,0.075,-11.428
-387.783,-381.793,15.27,0.087,-11.428
-387.767,-381.783,14.058,0.058,-11.428
-387.762,-381.769,13.345,0.065,-11.428
-387.764,-381.74,11.387,0.101,-11.428
-387.755,-381.728,10.373,0.107,-11.428
-387.731,-381.718,9.166,0.109,-11.428
-387.694,-381.717,7.802,0.109,-11.428
-387.648,-381.726,6.069,0.094,-11.428
-387.606,-381.735,4.297,0.095,-11.428
-387.584,-381.742,3.304,0.086,-11.428
-387.565,-381.748,1.758,0.078,-11.428
-387.558,-381.776,0.166,0.067,-11.428
-387.539,-381.791,-1.091,0.055,-11.429
-387.509,-381.798,-1.949,0.063,-11.429
-387.471,-381.808,-2.882,0.071,-11.429
-387.459,-381.811,-3.168,0.073,-11.429
-387.428,-381.848,-5.419,0.15,-11.429
-387.425,-381.87,-6.425,0.142,-11.429
-387.437,-381.895,-7.184,0.126,-11.429
-387.449,-381.915,-7.655,0.137,-11.429
-387.454,-381.935,-8.451,0.175,-11.429
-387.448,-381.952,-9.605,0.185,-11.429
-387.448,-381.955,-10.192,0.206,-11.429
-387.448,-381.955,-10.462,0.218,-11.429
-387.446,-381.964,-11.152,0.24,-11.429
-387.444,-381.971,-11.757,0.253,-11.429
-387.441,-381.975,-12.426,0.279,-11.429
-387.442,-381.981,-13.657,0.317,-11.429
-387.444,-381.984,-14.144,0.327,-11.429
-387.442,-381.988,-14.568,0.336,-11.429
-387.44,-381.992,-14.969,0.35,-11.429
-387.435,-381.989,-15.959,0.405,-11.429
-387.435,-381.988,-16.591,0.432,-11.429
-387.439,-381.987,-17.205,0.441,-11.429
-387.441,-381.99,-17.576,0.46,-11.429
-387.443,-381.991,-18.321,0.519,-11.429
-387.441,-381.991,-18.992,0.57,-11.429
-387.434,-381.99,-19.906,0.639,-11.429
-387.43,-381.988,-20.566,0,-11.429
-387.427,-381.989,-21.501,0.744,-11.429
-387.423,-381.992,-22.182,0.796,-11.429
-387.4,-381.992,-23.057,0.869,-11.429
-387.388,-381.993,-23.59,0.92,-11.429
-387.367,-381.993,-24.568,1.03,-11.429
-387.361,-381.99,-24.875,1.062,-11.429
-387.355,-381.981,-25.714,1.155,-11.429
-387.357,-381.978,-26.517,1.226,-11.429
-387.358,-381.979,-26.794,1.256,-11.429
-387.358,-381.978,-27.216,1.312,-11.429
-387.359,-381.975,-27.542,1.365,-11.429
-387.353,-381.969,-28.276,1.485,-11.429
-387.34,-381.966,-29.192,1.622,-11.429
-387.335,-381.963,-29.424,1.644,-11.429
-387.331,-381.959,-29.574,1.659,-11.429
-387.327,-381.954,-29.622,1.661,-11.429
-387.328,-381.947,-29.789,1.711,-11.43
-387.328,-381.947,-30.382,1.859,-11.43
-387.315,-381.936,-31.453,2.042,-11.43
-387.313,-381.935,-31.573,2.058,-11.43
-387.311,-381.936,-31.726,2.072,-11.43
-387.313,-381.945,-31.953,2.144,-11.43
-387.313,-381.95,-32.738,2.363,-11.43
-387.313,-381.95,-33.354,2.518,-11.43
-387.303,-381.954,-33.989,2.67,-11.43
-387.283,-381.96,-34.417,2.764,-11.43
-387.266,-381.963,-34.709,2.837,-11.43
-387.264,-381.967,-34.795,2.852,-11.43
-387.266,-381.967,-35.134,2.981,-11.43
-387.264,-381.966,-35.798,3.208,-11.43
-387.256,-381.964,-36.168,3.294,-11.43
-387.257,-381.961,-35.609,3.002,-11.43
-387.274,-381.961,-33.05,2.138,-11.43
-387.278,-381.971,-30.814,1.634,-11.43
-387.311,-381.999,-27.512,1.23,-11.43
-387.343,-381.984,-26.37,1.057,-11.43
-387.364,-381.979,-25.229,0.883,-11.43
-387.383,-381.979,-23.981,0.73,-11.43
-387.408,-382.009,-21.71,0.533,-11.43
-387.432,-382.019,-18.942,0.356,-11.429
-387.433,-382.011,-17.785,0.307,-11.429
-387.433,-382.004,-16.502,0.271,-11.429
-387.439,-382.002,-15.648,0.257,-11.429
-387.448,-382,-15.023,0.239,-11.429
-387.455,-381.985,-13.755,0.177,-11.429
-387.431,-381.978,-12.93,0.14,-11.428
-387.399,-381.974,-12.061,0.12,-11.428
-387.366,-381.965,-11.305,0.121,-11.429
-387.341,-381.951,-10.848,0.131,-11.429
-387.318,-381.925,-10.416,0.131,-11.429
-387.31,-381.903,-10.021,0.112,-11.429
-387.294,-381.885,-9.624,0.094,-11.43
-387.255,-381.865,-9.001,0.075,-11.43
-387.224,-381.857,-8.471,0.065,-11.43
-387.176,-381.849,-7.769,0.059,-11.43
-387.146,-381.851,-7.13,0.031,-11.43
-387.133,-381.848,-6.637,0.02,-11.43
-387.124,-381.84,-6.104,0.013,-11.431
-387.128,-381.786,-4.805,-0.01,-11.431
-387.131,-381.747,-4.331,-0.002,-11.432
-387.115,-381.672,-3.703,-0.044,-11.432
-387.106,-381.639,-3.557,-0.035,-11.432
-387.054,-381.513,-2.957,-0.047,-11.432
-386.996,-381.41,-2.26,-0.068,-11.432
-386.938,-381.284,-1.318,-0.092,-11.432
-386.889,-381.099,0.265,-0.102,-11.432
-386.877,-380.972,1.441,-0.12,-11.432
-386.872,-380.819,2.886,-0.125,-11.432
-386.867,-380.59,4.511,-0.077,-11.432
-386.858,-380.452,5.091,-0.037,-11.433
-386.834,-380.321,5.302,-0.003,-11.433
-386.811,-380.25,5.155,0.027,-11.433
-386.768,-380.153,4.679,0.048,-11.433
-386.715,-380.056,4.089,0.047,-11.432
-386.673,-379.987,3.638,0.048,-11.432
-386.614,-379.898,3.047,0.044,-11.432
-386.599,-379.873,2.922,0.034,-11.432
-386.565,-379.819,2.711,0.024,-11.432
-386.509,-379.73,2.373,0.029,-11.432
-386.482,-379.601,1.839,0.022,-11.432
-386.476,-379.567,1.751,0.011,-11.432
-386.472,-379.554,1.729,0.005,-11.432
-386.462,-379.535,1.659,0.009,-11.432
-386.451,-379.517,1.564,0.008,-11.432
-386.437,-379.471,1.415,0.013,-11.432
-386.407,-379.391,1.273,0.007,-11.432
-386.38,-379.34,1.149,0.014,-11.431
-386.348,-379.282,0.975,0.019,-11.431
-386.337,-379.256,0.884,0.023,-11.431
-386.319,-379.198,0.673,0.027,-11.431
-386.293,-379.084,0.271,0.021,-11.431
-386.27,-379.031,0.173,0.001,-11.431
-386.244,-379,0.321,-0.009,-11.431
-386.236,-378.99,0.501,-0.024,-11.431
-386.241,-378.974,0.55,0.01,-11.431
-386.255,-378.93,0.461,0.012,-11.431
-386.264,-378.92,0.166,0.036,-11.431
-386.28,-378.902,-0.049,0,-11.431
-386.295,-378.89,-0.008,-0.003,-11.431
-386.328,-378.859,-0.095,0.011,-11.431
-386.403,-378.761,-0.547,0.028,-11.431
-386.441,-378.69,-0.881,0.026,-11.431
-386.455,-378.647,-1.133,0.029,-11.431
-386.469,-378.605,-1.398,0.031,-11.431
-386.489,-378.541,-1.816,0.033,-11.431
-386.493,-378.522,-1.979,0.04,-11.431
-386.492,-378.444,-2.989,0.056,-11.431
-386.508,-378.407,-3.675,0.033,-11.431
-386.514,-378.404,-3.822,0.03,-11.432
-386.527,-378.4,-4.058,0.055,-11.432
-386.551,-378.39,-4.096,0.036,-11.432
-386.583,-378.376,-4.141,0.041,-11.432
-386.592,-378.371,-4.163,0.037,-11.432
-386.595,-378.36,-4.196,0.041,-11.432
-386.606,-378.336,-4.224,0.041,-11.432
-386.612,-378.325,-4.26,0.046,-11.432
-386.637,-378.289,-4.395,0.05,-11.432
-386.68,-378.26,-4.51,0.051,-11.432
-386.703,-378.243,-4.576,0.048,-11.432
-386.705,-378.207,-4.672,0.053,-11.432
-386.702,-378.182,-4.723,0.052,-11.432
-386.704,-378.14,-4.836,0.051,-11.432
-386.718,-378.128,-4.828,0.045,-11.432
-386.73,-378.123,-4.779,0.043,-11.432
-386.741,-378.115,-4.771,0.047,-11.432
-386.749,-378.108,-4.76,0.043,-11.432
-386.771,-378.095,-4.748,0.043,-11.432
-386.794,-378.084,-4.746,0.046,-11.432
-386.816,-378.07,-4.834,0.05,-11.432
-386.808,-378.071,-4.848,0.046,-11.432
-386.805,-378.073,-4.842,0.045,-11.432
-386.803,-378.079,-4.812,0.04,-11.432
-386.808,-378.081,-4.765,0.04,-11.432
-386.82,-378.077,-4.737,0.043,-11.432
-386.824,-378.074,-4.722,0.045,-11.432
-386.822,-378.074,-4.709,0.044,-11.432
-386.82,-378.074,-4.682,0.042,-11.432
-386.819,-378.076,-4.652,0.038,-11.432
-386.821,-378.074,-4.611,0.04,-11.432
-386.821,-378.072,-4.593,0.044,-11.432
-386.823,-378.072,-4.593,0.044,-11.432
-386.828,-378.072,-4.573,0.038,-11.432
-386.837,-378.074,-4.563,0.043,-11.432
-386.848,-378.078,-4.525,0.039,-11.431
-386.852,-378.089,-4.442,0.036,-11.431
-386.844,-378.096,-4.334,0.03,-11.431
-386.844,-378.092,-4.259,0.038,-11.431
-386.845,-378.088,-4.259,0.041,-11.431
-386.847,-378.083,-4.261,0.037,-11.431
-386.848,-378.078,-4.19,0.036,-11.431
-386.847,-378.074,-4.176,0.038,-11.431
-386.844,-378.069,-4.186,0.039,-11.43
-386.84,-378.069,-4.196,0.038,-11.43
-386.839,-378.068,-4.196,0.038,-11.43
-386.839,-378.069,-4.182,0.037,-11.43
-386.843,-378.072,-4.179,0.038,-11.43
-386.847,-378.073,-4.203,0.038,-11.43
-386.847,-378.073,-4.213,0.039,-11.43
-386.846,-378.075,-4.21,0.038,-11.43
-386.846,-378.077,-4.203,0.037,-11.43
-386.845,-378.077,-4.203,0.038,-11.43
-386.845,-378.077,-4.203,0.037,-11.43
-386.845,-378.077,-4.214,0.041,-11.43
-386.845,-378.078,-4.224,0.04,-11.43
-386.844,-378.082,-4.238,0.038,-11.43
-386.845,-378.087,-4.248,0.039,-11.43
-386.849,-378.091,-4.266,0.041,-11.43
-386.853,-378.094,-4.296,0.043,-11.43
-386.853,-378.097,-4.351,0.045,-11.43
-386.856,-378.106,-4.498,0.049,-11.429
-386.859,-378.107,-4.532,0.05,-11.429
-386.862,-378.109,-4.637,0.056,-11.429
-386.863,-378.112,-4.74,0.057,-11.429
-386.864,-378.113,-4.835,0.059,-11.429
-386.868,-378.114,-5.097,0.072,-11.429
-386.874,-378.122,-5.384,0.084,-11.429
-386.877,-378.125,-5.677,0.079,-11.429
-386.876,-378.125,-5.834,0.078,-11.429
-386.878,-378.122,-6.096,0.092,-11.429
-386.878,-378.12,-6.556,0.117,-11.429
-386.878,-378.12,-7.195,0.139,-11.429
-386.88,-378.117,-7.923,0.155,-11.429
-386.892,-378.117,-8.943,0.188,-11.429
-386.911,-378.111,-9.761,0.218,-11.429
-386.919,-378.109,-10.082,0.231,-11.429
-386.946,-378.109,-11.444,0.257,-11.429
-386.974,-378.112,-12.573,0.29,-11.429
-387.004,-378.12,-13.237,0.275,-11.429
-387.021,-378.131,-13.73,0.281,-11.428
-387.021,-378.132,-13.811,0.283,-11.428
-387.022,-378.138,-14.211,0.303,-11.428
-387.029,-378.137,-14.445,0.311,-11.428
-387.038,-378.135,-14.695,0.323,-11.428
-387.052,-378.13,-15.446,0.362,-11.428
-387.058,-378.13,-15.835,0.389,-11.428
-387.064,-378.129,-16.346,0.417,-11.428
-387.067,-378.13,-17.083,0.464,-11.428
-387.067,-378.128,-18.003,0.529,-11.428
-387.066,-378.126,-18.696,0.575,-11.428
-387.069,-378.116,-19.764,0.655,-11.428
-387.072,-378.106,-20.725,0.73,-11.428
-387.074,-378.096,-22.205,0.849,-11.428
-387.075,-378.093,-23.497,0.958,-11.428
-387.077,-378.09,-24.449,1.06,-11.428
-387.08,-378.091,-25.666,1.214,-11.428
-387.083,-378.095,-26.845,1.371,-11.428
