x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
10.425,-46.843,24.679,0,2.47
10.424,-46.843,24.679,0,2.468
10.421,-46.843,24.663,0.002,2.47
10.414,-46.843,24.632,0.003,2.47
10.407,-46.843,24.6,0.005,2.47
10.395,-46.845,24.565,0.006,2.47
10.361,-46.849,24.396,0.011,2.47
10.343,-46.852,24.285,0.01,2.469
10.334,-46.853,24.229,0.007,2.469
10.32,-46.855,24.149,0.006,2.469
10.307,-46.859,24.059,0.008,2.469
10.299,-46.862,23.987,0.007,2.468
10.289,-46.865,23.921,0.003,2.47
10.281,-46.868,23.921,-0.002,2.472
10.278,-46.869,23.911,0.002,2.47
10.274,-46.869,23.887,0.001,2.469
10.264,-46.869,23.839,0.002,2.468
10.26,-46.869,23.817,0.004,2.47
10.255,-46.867,23.795,0.003,2.47
10.247,-46.865,23.75,0.006,2.468
10.237,-46.864,23.676,0.007,2.469
10.23,-46.862,23.516,0.014,2.468
10.228,-46.857,23.262,0.011,2.471
10.226,-46.858,23.201,0.005,2.47
10.224,-46.859,23.185,0,2.469
10.224,-46.86,23.169,0.002,2.467
10.223,-46.862,23.144,0.003,2.468
10.223,-46.863,23.12,0.001,2.469
10.221,-46.866,23.108,0.002,2.468
10.219,-46.871,23.144,-0.002,2.471
10.217,-46.874,23.174,-0.004,2.471
10.214,-46.878,23.205,-0.005,2.468
10.205,-46.883,23.265,-0.004,2.47
10.199,-46.883,23.283,-0.002,2.467
10.183,-46.883,23.32,-0.004,2.468
10.168,-46.886,23.352,-0.004,2.467
10.158,-46.889,23.359,0,2.47
10.141,-46.896,23.42,-0.004,2.469
10.136,-46.9,23.457,-0.001,2.471
10.134,-46.9,23.463,0,2.471
10.134,-46.9,23.463,0,2.47
10.135,-46.899,23.45,0.002,2.47
10.136,-46.896,23.432,0.002,2.469
10.137,-46.894,23.414,0.003,2.467
10.137,-46.894,23.414,0,2.47
10.139,-46.895,23.414,0,2.469
10.14,-46.896,23.414,0,2.469
10.141,-46.896,23.414,0,2.469
10.142,-46.894,23.41,0.002,2.47
10.143,-46.891,23.385,0.002,2.468
10.144,-46.891,23.371,0.003,2.47
10.144,-46.891,23.357,0,2.469
10.147,-46.889,23.324,0.004,2.469
10.154,-46.884,23.224,0.007,2.471
10.159,-46.882,23.149,0.004,2.469
10.159,-46.882,23.121,0.001,2.468
10.159,-46.883,23.113,0,2.467
10.159,-46.883,23.113,0,2.47
10.159,-46.882,23.099,0.001,2.472
10.159,-46.881,23.064,0.002,2.47
10.159,-46.882,23.042,0.001,2.469
10.159,-46.883,23.025,0,2.469
10.158,-46.884,23.023,0,2.469
10.157,-46.887,22.974,0.002,2.467
10.158,-46.888,22.952,0,2.469
10.16,-46.889,22.93,0.004,2.468
10.161,-46.89,22.921,0.001,2.467
10.161,-46.891,22.891,0.003,2.471
10.163,-46.891,22.826,0.008,2.469
10.166,-46.89,22.655,0.014,2.47
10.168,-46.889,22.505,0.013,2.47
10.169,-46.888,22.412,0.01,2.47
10.17,-46.886,22.312,0.012,2.471
10.17,-46.885,22.205,0.014,2.469
10.171,-46.886,22.081,0.01,2.468
10.172,-46.889,22.011,0.005,2.467
10.172,-46.89,21.98,0.003,2.469
10.172,-46.89,21.915,0.008,2.467
10.172,-46.89,21.842,0.006,2.47
10.173,-46.889,21.777,0.007,2.469
10.172,-46.891,21.724,0.004,2.47
10.172,-46.892,21.693,0.002,2.469
10.172,-46.892,21.662,0.003,2.469
10.171,-46.893,21.618,0.007,2.469
10.171,-46.893,21.552,0.007,2.47
10.172,-46.892,21.487,0.009,2.47
10.171,-46.893,21.392,0.011,2.468
10.171,-46.893,21.259,0.011,2.469
10.17,-46.893,21.186,0.005,2.467
10.169,-46.894,21.127,0.002,2.468
10.168,-46.894,21.082,0.004,2.47
10.169,-46.892,21.019,0.008,2.469
10.169,-46.892,20.858,0.015,2.469
10.166,-46.894,20.641,0.012,2.469
10.165,-46.896,20.534,0.009,2.471
10.164,-46.898,20.495,0.001,2.47
10.164,-46.898,20.472,0.003,2.47
10.165,-46.896,20.418,0.007,2.468
10.166,-46.896,20.376,0.005,2.468
10.165,-46.898,20.32,0.001,2.47
10.165,-46.898,20.306,0.001,2.469
10.165,-46.897,20.263,0.005,2.472
10.165,-46.896,20.155,0.011,2.468
10.164,-46.896,20.023,0.014,2.47
10.162,-46.896,19.881,0.015,2.469
10.161,-46.897,19.638,0.016,2.47
10.16,-46.898,19.437,0.016,2.47
10.16,-46.899,19.347,0.011,2.467
10.159,-46.901,19.256,0.008,2.469
10.157,-46.9,19.117,0.011,2.471
10.152,-46.899,18.911,0.015,2.471
10.149,-46.902,18.704,0.016,2.469
10.146,-46.905,18.556,0.012,2.47
10.144,-46.905,18.451,0.012,2.469
10.144,-46.907,18.315,0.003,2.468
10.143,-46.911,18.315,-0.003,2.469
10.142,-46.913,18.294,0.003,2.467
10.142,-46.913,18.286,0.002,2.466
10.141,-46.914,18.269,0,2.469
10.141,-46.916,18.266,0,2.467
10.14,-46.915,18.266,0,2.47
10.137,-46.915,18.266,0,2.472
10.135,-46.915,18.249,0.004,2.466
10.134,-46.915,18.249,0,2.47
10.135,-46.915,18.249,0,2.467
10.135,-46.915,18.249,0,2.469
10.135,-46.915,18.249,0,2.467
10.134,-46.915,18.249,0,2.469
10.134,-46.915,18.249,0,2.468
10.134,-46.915,18.249,0,2.471
10.134,-46.915,18.24,0,2.47
10.134,-46.917,18.214,0.001,2.47
10.135,-46.917,18.214,0,2.469
10.137,-46.917,18.217,0,2.47
10.137,-46.917,18.217,0,2.47
10.137,-46.917,18.217,0,2.469
10.137,-46.916,18.226,0,2.468
10.137,-46.916,18.226,0,2.47
10.138,-46.916,18.226,0,2.468
10.137,-46.919,18.243,-0.001,2.468
10.137,-46.919,18.243,0,2.468
10.137,-46.919,18.248,-0.001,2.469
10.137,-46.919,18.248,0,2.467
10.138,-46.919,18.243,0.003,2.47
10.138,-46.919,18.243,0,2.471
10.139,-46.92,18.248,0,2.469
