x (nm),y (nm),zpen (mm),Force (N),zafm (nm)
9.967,-49.766,8.486,0.005,2.468
9.967,-49.765,8.466,0.005,2.469
9.967,-49.765,8.466,0,2.469
9.967,-49.765,8.435,0.001,2.47
9.967,-49.766,8.362,0.006,2.468
9.967,-49.767,8.351,0,2.472
9.967,-49.767,8.339,0,2.47
9.966,-49.768,8.336,0,2.468
9.966,-49.769,8.302,0.004,2.471
9.965,-49.771,8.257,0.007,2.467
9.965,-49.772,8.223,0.001,2.469
9.965,-49.773,8.211,0.001,2.47
9.965,-49.774,8.177,0.006,2.47
9.965,-49.774,8.166,0.001,2.47
9.964,-49.776,8.089,0.003,2.468
9.964,-49.777,8.066,0,2.47
9.964,-49.776,8.039,0.001,2.469
9.964,-49.776,7.999,0.004,2.471
9.964,-49.777,7.965,0.005,2.471
9.964,-49.778,7.931,0.005,2.471
9.964,-49.781,7.863,0.007,2.468
9.963,-49.783,7.786,0.008,2.47
9.963,-49.785,7.698,0.006,2.467
9.962,-49.786,7.664,0.004,2.47
9.962,-49.788,7.618,0.005,2.47
9.961,-49.789,7.572,0.005,2.469
9.961,-49.791,7.496,0.002,2.471
9.961,-49.792,7.473,0.003,2.468
9.961,-49.794,7.427,0.006,2.47
9.96,-49.796,7.37,0.003,2.47
9.96,-49.797,7.328,0.004,2.47
9.96,-49.797,7.328,0,2.468
9.96,-49.797,7.296,0.006,2.47
9.96,-49.797,7.277,0.002,2.471
9.96,-49.797,7.265,0,2.469
9.961,-49.798,7.254,0,2.469
9.961,-49.798,7.242,0,2.469
9.961,-49.797,7.144,0.007,2.469
9.961,-49.797,7.082,0.007,2.47
9.961,-49.797,7.07,0,2.47
9.961,-49.797,7.082,-0.002,2.468
9.961,-49.797,7.07,0,2.467
9.961,-49.796,7.023,0.001,2.471
9.961,-49.796,7.011,0,2.47
9.962,-49.795,6.995,0.001,2.471
9.962,-49.794,6.967,0.002,2.469
9.962,-49.794,6.916,0.003,2.47
9.962,-49.794,6.874,0.002,2.47
9.962,-49.795,6.851,0,2.469
9.962,-49.795,6.851,0,2.468
9.962,-49.795,6.851,0,2.469
9.961,-49.796,6.859,-0.001,2.468
9.961,-49.796,6.859,0,2.47
9.961,-49.796,6.847,0,2.468
9.961,-49.797,6.836,0,2.471
9.961,-49.797,6.825,0.003,2.47
9.961,-49.797,6.825,0.001,2.47
9.96,-49.798,6.79,0.002,2.472
9.96,-49.799,6.725,0.006,2.469
9.96,-49.798,6.677,0.006,2.469
9.96,-49.795,6.582,0.012,2.469
9.959,-49.793,6.362,0.028,2.469
9.958,-49.792,6.28,0.022,2.469
9.955,-49.784,5.766,0.045,2.467
9.954,-49.78,5.234,0.058,2.469
9.953,-49.779,4.906,0.045,2.471
9.95,-49.778,4.618,0.041,2.468
9.945,-49.777,4.309,0.019,2.472
9.935,-49.771,3.637,0.033,2.47
9.931,-49.768,3.087,0.052,2.468
9.923,-49.767,1.989,0.065,2.469
9.922,-49.763,1.102,0.072,2.47
9.922,-49.758,0.371,0.244,2.47
9.911,-49.758,-0.263,0.426,2.469
9.906,-49.758,-0.393,0.447,2.469
9.907,-49.757,-0.459,0.469,2.469
9.912,-49.752,-0.572,0.515,2.471
9.921,-49.744,-0.829,0.62,2.47
9.925,-49.742,-1.266,0.783,2.469
9.919,-49.756,-1.61,0.888,2.469
9.915,-49.772,-1.888,0.98,2.469
9.914,-49.773,-2.238,1.123,2.469
9.913,-49.767,-2.708,1.292,2.469
9.883,-49.774,-3.507,1.575,2.469
9.868,-49.782,-3.972,1.744,2.469
9.863,-49.785,-4.427,1.914,2.47
9.864,-49.776,-5.066,2.14,2.47
9.861,-49.769,-5.411,2.224,2.471
9.837,-49.771,-5.707,2.322,2.47
9.817,-49.782,-6.048,2.453,2.471
9.811,-49.795,-6.484,2.61,2.469
9.817,-49.803,-6.912,2.756,2.469
9.826,-49.794,-6.997,2.752,2.468
9.831,-49.793,-7.019,2.76,2.471
9.83,-49.794,-6.999,2.751,2.469
9.832,-49.796,-6.953,2.732,2.47
9.832,-49.798,-6.784,2.655,2.47
9.832,-49.801,-6.032,2.344,2.472
9.849,-49.804,-4.587,1.767,2.47
9.886,-49.837,-0.382,0.279,2.467
9.907,-49.839,0.248,-0.038,2.468
9.893,-49.875,1.739,-0.13,2.47
9.865,-49.895,3.121,-0.172,2.47
9.825,-49.94,6.587,-0.184,2.469
9.828,-49.963,8.991,-0.154,2.473
9.835,-49.976,10.255,-0.112,2.47
9.843,-49.992,11.234,-0.056,2.469
9.847,-49.996,11.539,-0.024,2.468
9.849,-49.996,11.717,-0.015,2.471
9.849,-49.995,11.99,-0.034,2.468
9.846,-49.995,12.518,-0.044,2.468
9.847,-49.993,12.928,-0.033,2.468
9.846,-49.996,13.306,-0.017,2.468
9.85,-49.996,13.555,-0.023,2.471
9.858,-49.995,13.915,-0.039,2.471
9.858,-49.992,14.697,-0.018,2.47
9.858,-49.992,14.904,-0.015,2.471
9.858,-49.994,15.046,-0.031,2.469
9.856,-49.999,15.439,-0.033,2.472
9.855,-50.005,16.111,-0.039,2.467
9.855,-50.005,16.536,-0.047,2.468
9.85,-50.005,17.174,-0.05,2.47
9.847,-50,17.842,-0.036,2.468
9.847,-49.986,18.473,-0.042,2.471
9.848,-49.977,19.146,-0.068,2.471
9.846,-49.964,20.427,-0.07,2.469
9.846,-49.959,20.968,-0.058,2.471
9.85,-49.948,21.814,-0.051,2.469
9.857,-49.941,22.428,-0.046,2.467
9.86,-49.939,23.064,-0.052,2.468
9.859,-49.94,23.616,-0.053,2.467
9.855,-49.94,24.586,-0.054,2.47
9.85,-49.939,25.259,-0.094,2.467
9.847,-49.938,25.555,-0.075,2.472
9.842,-49.928,26.347,-0.041,2.471
9.847,-49.918,27.344,-0.064,2.47
9.846,-49.918,28.29,-0.074,2.47
9.843,-49.917,28.932,-0.058,2.468
9.834,-49.913,29.573,-0.032,2.466
9.832,-49.91,30.296,-0.033,2.469
9.832,-49.914,30.762,-0.032,2.469
9.832,-49.914,31.088,-0.027,2.471
9.832,-49.91,31.851,-0.041,2.473
9.834,-49.907,32.391,-0.051,2.468
9.834,-49.902,33.458,-0.077,2.471
9.835,-49.89,34.717,-0.074,2.466
9.84,-49.879,35.588,-0.08,2.469
9.844,-49.876,37.259,-0.116,2.468
9.834,-49.887,38.53,0,2.47
9.818,-49.896,39.51,-0.065,2.471
9.813,-49.896,39.906,-0.032,2.47
9.817,-49.896,40.211,-0.031,2.469
9.822,-49.904,40.987,-0.053,2.471
9.822,-49.912,41.562,-0.05,2.467
9.821,-49.916,42.135,-0.052,2.467
9.821,-49.927,43.132,-0.057,2.47
9.824,-49.939,44.071,-0.042,2.47
9.836,-49.952,44.662,-0.044,2.471
9.845,-49.962,45.129,-0.046,2.472
9.851,-49.967,45.461,-0.024,2.469
9.854,-49.969,45.739,-0.024,2.47
9.857,-49.976,46.063,-0.016,2.468
9.856,-49.98,46.181,-0.002,2.47
9.854,-49.978,46.148,0.011,2.468
9.854,-49.972,46.04,0.003,2.471
9.855,-49.973,46.051,-0.006,2.469
9.856,-49.98,46.139,-0.013,2.468
9.855,-49.99,46.263,0.001,2.47
9.854,-49.991,46.244,0.004,2.471
9.854,-49.991,46.244,0,2.469
9.853,-49.992,46.245,-0.002,2.472
9.853,-49.994,46.227,0,2.47
9.853,-49.996,46.219,0,2.471
9.853,-49.996,46.219,0,2.469
9.852,-49.995,46.208,0.003,2.468
9.849,-49.995,46.187,0.004,2.469
9.85,-49.992,46.123,0.002,2.469
9.851,-49.994,46.124,-0.003,2.47
9.852,-49.995,46.126,0.002,2.47
9.851,-49.997,46.117,0.003,2.473
9.852,-49.991,46.008,0.005,2.468
9.852,-49.989,45.954,0.007,2.471
9.853,-49.988,45.944,0,2.468
9.852,-49.989,45.934,0.005,2.469
9.85,-49.989,45.894,0.007,2.47
9.848,-49.988,45.729,0.015,2.469
9.85,-49.986,45.582,0.002,2.469
9.851,-49.986,45.572,0.001,2.471
9.851,-49.983,45.517,0.008,2.471
9.853,-49.978,45.409,0.009,2.47
9.852,-49.98,45.371,0,2.469
9.851,-49.983,45.374,0.003,2.473
9.851,-49.984,45.344,0.001,2.469
9.852,-49.983,45.322,0.001,2.471
9.854,-49.984,45.312,0,2.469
9.853,-49.984,45.312,0,2.471
9.853,-49.982,45.291,0.002,2.471
9.853,-49.982,45.291,0,2.467
9.853,-49.982,45.28,0,2.468
9.853,-49.982,45.259,0.001,2.472
9.853,-49.984,45.241,0,2.469
9.853,-49.985,45.231,0,2.47
9.852,-49.985,45.222,0,2.471
9.852,-49.985,45.222,0,2.471
9.852,-49.985,45.222,0,2.468
9.853,-49.983,45.168,0.008,2.471
9.853,-49.983,45.137,0,2.467
9.853,-49.983,45.075,0.007,2.47
9.853,-49.983,45.066,0,2.47
9.854,-49.983,45.066,0,2.468
9.854,-49.984,45.056,0,2.469
9.854,-49.984,45.056,0,2.469
9.854,-49.983,45.045,0.001,2.474
9.856,-49.982,45.023,0.002,2.47
9.857,-49.983,45.023,0,2.471
9.856,-49.983,44.993,0.002,2.469
9.858,-49.98,44.928,0.004,2.468
9.859,-49.98,44.928,-0.002,2.468
9.859,-49.982,44.919,0.002,2.469
9.858,-49.981,44.888,0.007,2.471
9.859,-49.978,44.824,0.002,2.469
9.859,-49.978,44.824,0,2.472
9.859,-49.978,44.803,0.001,2.471
9.86,-49.974,44.666,0.008,2.472
9.86,-49.973,44.562,0.01,2.469
9.861,-49.973,44.541,0,2.47
9.86,-49.976,44.565,0,2.467
9.86,-49.976,44.565,0,2.47
9.86,-49.976,44.565,0,2.469
9.86,-49.976,44.565,0,2.468
9.86,-49.977,44.576,-0.001,2.47
9.859,-49.979,44.578,0.001,2.472
9.858,-49.98,44.579,0.001,2.472
9.858,-49.98,44.579,0,2.47
9.858,-49.981,44.57,0.001,2.47
9.858,-49.981,44.59,-0.003,2.47
9.858,-49.982,44.623,-0.001,2.47
9.858,-49.982,44.612,0,2.47
9.858,-49.982,44.612,0,2.469
9.858,-49.982,44.623,-0.003,2.472
9.857,-49.984,44.624,-0.003,2.471
9.857,-49.984,44.635,0,2.47
9.857,-49.985,44.625,0,2.472
9.858,-49.984,44.635,0,2.471
9.857,-49.987,44.657,-0.003,2.47
9.857,-49.986,44.647,0.001,2.47
9.857,-49.984,44.603,0.006,2.469
9.857,-49.984,44.603,0,2.471
9.857,-49.984,44.603,0,2.47
9.858,-49.982,44.582,0.003,2.469
9.858,-49.982,44.582,0,2.472
9.857,-49.984,44.593,-0.005,2.47
9.857,-49.985,44.584,0,2.468
9.856,-49.984,44.584,0,2.47
9.855,-49.984,44.573,0.001,2.47
9.856,-49.982,44.551,0,2.47
9.857,-49.983,44.551,0,2.47
9.857,-49.983,44.551,0,2.471
9.857,-49.981,44.519,0,2.47
9.857,-49.981,44.519,0,2.47
9.857,-49.981,44.519,0,2.469
9.857,-49.981,44.519,0,2.47
9.857,-49.981,44.519,0,2.471
9.857,-49.981,44.519,0,2.47
9.857,-49.981,44.519,0,2.47
9.857,-49.981,44.519,0,2.466
9.857,-49.981,44.519,0,2.469
9.857,-49.982,44.52,-0.001,2.471
9.857,-49.983,44.5,0.002,2.47
9.856,-49.984,44.491,0,2.471
9.856,-49.983,44.491,0,2.47
9.857,-49.982,44.499,0,2.47
9.857,-49.982,44.49,0,2.471
9.857,-49.985,44.502,-0.003,2.47
9.856,-49.988,44.546,-0.001,2.47
9.855,-49.987,44.535,0.001,2.471
9.856,-49.986,44.524,0,2.47
9.856,-49.986,44.524,0,2.47
9.856,-49.986,44.513,0.002,2.47
9.856,-49.985,44.502,0.001,2.467
9.856,-49.985,44.502,0,2.468
9.856,-49.986,44.493,0,2.471
9.856,-49.986,44.472,0.001,2.471
9.856,-49.985,44.461,0,2.47
9.856,-49.985,44.43,0.002,2.471
9.857,-49.98,44.343,0.005,2.471
9.858,-49.978,44.301,0,2.47
9.858,-49.977,44.239,0.007,2.468
9.858,-49.975,44.124,0.014,2.469
9.858,-49.973,44.03,0.013,2.469
9.859,-49.971,43.956,0.008,2.471
9.859,-49.972,43.947,-0.001,2.468
9.858,-49.974,43.949,0,2.472
9.859,-49.973,43.927,0.001,2.47
9.86,-49.974,43.949,-0.002,2.471
9.859,-49.975,43.95,0,2.469
9.858,-49.976,43.94,0.003,2.47
9.858,-49.976,43.94,0.003,2.469
9.858,-49.976,43.94,0,2.472
9.857,-49.979,43.984,-0.005,2.469
9.857,-49.98,43.995,0,2.471
9.857,-49.98,43.974,0,2.468
9.856,-49.981,44.007,-0.004,2.472
9.855,-49.983,44.039,-0.003,2.468
9.854,-49.982,44.028,0.005,2.472
9.854,-49.981,44.027,-0.001,2.47
9.854,-49.983,44.06,-0.004,2.471
9.853,-49.985,44.072,0.004,2.47
9.854,-49.986,44.063,0.004,2.47
9.853,-49.988,44.054,0,2.471
9.853,-49.988,44.054,0,2.468
9.853,-49.987,44.043,0,2.471
9.853,-49.987,44.053,-0.001,2.468
9.853,-49.987,44.064,0,2.469
9.853,-49.991,44.097,-0.001,2.473
9.852,-49.992,44.119,-0.001,2.47
9.852,-49.992,44.119,0,2.471
9.852,-49.992,44.119,0,2.472
9.852,-49.993,44.151,-0.002,2.469
9.852,-49.993,44.151,0,2.469
9.853,-49.993,44.13,0,2.469
9.853,-49.993,44.13,0,2.467
9.853,-49.993,44.13,0,2.47
9.853,-49.992,44.139,0,2.472
9.853,-49.992,44.139,0,2.471
9.853,-49.991,44.129,0,2.468
9.853,-49.991,44.129,0,2.472
9.853,-49.992,44.139,0,2.47
9.853,-49.993,44.13,0,2.47
9.853,-49.994,44.11,0.005,2.468
9.853,-49.993,44.099,0.003,2.471
9.853,-49.991,44.088,0.004,2.47
9.854,-49.989,44.055,0.005,2.468
9.853,-49.987,44.012,0,2.47
9.853,-49.987,44.012,0,2.47
9.854,-49.987,44.012,0,2.469
9.854,-49.987,44.012,0,2.471
9.854,-49.987,44.012,0,2.469
9.854,-49.986,44.022,-0.003,2.471
9.854,-49.985,44,0.005,2.47
9.855,-49.983,43.957,0.009,2.471
9.855,-49.978,43.84,0.012,2.469
9.854,-49.971,43.579,0.024,2.47
9.851,-49.964,43.092,0.053,2.472
9.842,-49.956,42.046,0.078,2.468
9.836,-49.955,41.382,0.088,2.471
9.831,-49.958,40.669,0.087,2.47
9.824,-49.966,39.672,0.083,2.47
9.804,-49.982,38.278,0.102,2.468
9.781,-49.993,36.929,0.125,2.468
9.74,-49.998,33.975,0.155,2.469
9.726,-49.991,32.517,0.166,2.47
9.713,-49.979,30.929,0.167,2.47
9.695,-49.954,28.549,0.158,2.471
9.689,-49.92,25.747,0.15,2.47
9.683,-49.906,24.203,0.138,2.468
9.68,-49.894,21.79,0.129,2.469
9.674,-49.888,20.035,0.126,2.469
9.661,-49.868,17.753,0.106,2.471
9.646,-49.843,16.269,0.099,2.469
9.641,-49.821,15.107,0.092,2.473
9.643,-49.797,13.823,0.091,2.471
9.651,-49.776,12.805,0.084,2.469
9.658,-49.761,12.001,0.076,2.47
9.661,-49.751,10.779,0.058,2.471
9.662,-49.744,10.16,0.066,2.469
9.662,-49.736,9.513,0.07,2.466
9.661,-49.728,8.375,0.051,2.469
9.659,-49.732,7.625,0.04,2.469
9.657,-49.735,7.162,0.042,2.469
9.657,-49.733,6.665,0.046,2.468
9.66,-49.725,6.039,0.051,2.471
9.661,-49.723,5.799,0.054,2.47
9.661,-49.717,5.168,0.062,2.47
9.662,-49.714,4.444,0.066,2.47
9.662,-49.721,3.629,0.055,2.471
9.659,-49.734,3.092,0.045,2.471
9.656,-49.745,2.64,0.052,2.47
9.652,-49.759,1.971,0.056,2.469
9.649,-49.772,1.178,0.07,2.47
9.655,-49.782,0.411,0.071,2.471
9.665,-49.793,-0.454,0.162,2.47
9.665,-49.799,-0.422,0.304,2.47
9.667,-49.801,-0.312,0.174,2.471
9.672,-49.805,-0.403,0.181,2.47
9.676,-49.809,-0.454,0.289,2.469
9.685,-49.809,-0.529,0.17,2.47
9.694,-49.806,-0.794,0.138,2.468
9.691,-49.81,-0.841,0.363,2.472
9.69,-49.805,-1.035,0.08,2.47
9.682,-49.806,-0.984,0.621,2.468
9.693,-49.795,-1.145,0.475,2.469
9.708,-49.769,-1.662,0.38,2.47
9.702,-49.761,-1.681,0.526,2.469
9.695,-49.754,-1.499,0.549,2.471
9.698,-49.751,-1.672,0.473,2.471
9.699,-49.751,-1.483,0.631,2.468
9.708,-49.753,-1.294,0.703,2.469
9.723,-49.75,-1.572,0.343,2.47
9.743,-49.74,-2.206,0.638,2.468
9.747,-49.732,-2.165,0.822,2.472
9.749,-49.719,-2.377,0.566,2.47
9.741,-49.697,-1.984,0.964,2.47
9.748,-49.682,-2.195,0.773,2.468
9.757,-49.654,-2.784,1.012,2.47
9.755,-49.631,-2.951,0.855,2.47
9.736,-49.623,-2.923,1.037,2.468
9.709,-49.612,-2.953,1.037,2.472
9.7,-49.601,-3.16,0.933,2.469
9.697,-49.592,-2.853,1.364,2.469
9.712,-49.583,-2.296,0.726,2.469
9.735,-49.591,-2.51,0.778,2.47
9.746,-49.597,-2.519,0.739,2.469
9.754,-49.597,-2.367,0.863,2.47
9.756,-49.595,-2.315,0.634,2.47
9.756,-49.591,-2.259,0.901,2.469
9.763,-49.592,-2.341,0.935,2.472
9.769,-49.593,-2.399,0.722,2.47
9.788,-49.597,-1.847,1.016,2.467
9.796,-49.595,-1.83,0.811,2.47
9.796,-49.591,-2.333,0.898,2.47
9.785,-49.589,-2.512,0.909,2.47
9.788,-49.584,-2.285,0.807,2.466
9.789,-49.587,-2.305,0.862,2.471
9.795,-49.595,-2.905,0.581,2.47
9.787,-49.607,-2.697,1.121,2.47
9.784,-49.61,-1.844,0.672,2.471
9.801,-49.628,-2.003,0.741,2.471
9.797,-49.641,-1.68,0.786,2.468
9.804,-49.645,-1.576,0.688,2.472
9.815,-49.645,-1.875,0.444,2.47
9.842,-49.656,-1.027,0.739,2.469
9.847,-49.652,-1.224,0.443,2.471
9.859,-49.648,-1.767,0.492,2.47
9.849,-49.651,-1.632,0.748,2.47
9.851,-49.646,-1.192,0.482,2.469
9.862,-49.65,-1.402,0.477,2.469
9.866,-49.643,-1.559,0.427,2.47
9.865,-49.641,-1.656,0.459,2.471
9.86,-49.642,-1.602,0.55,2.47
9.859,-49.643,-1.501,0.708,2.471
9.857,-49.641,-1.427,0.497,2.469
9.858,-49.64,-1.462,0.654,2.47
9.86,-49.634,-1.627,0.562,2.472
9.861,-49.629,-1.761,0.644,2.469
9.861,-49.624,-1.601,0.919,2.47
9.867,-49.619,-1.688,0.531,2.469
9.871,-49.62,-1.924,0.715,2.47
9.869,-49.616,-1.947,0.564,2.468
9.866,-49.616,-1.908,0.767,2.472
9.869,-49.614,-2.155,0.559,2.468
9.862,-49.625,-1.632,0.807,2.471
9.864,-49.623,-1.592,0.347,2.47
9.879,-49.627,-1.592,0.768,2.467
9.879,-49.625,-1.708,0.652,2.472
9.889,-49.617,-2.34,0.401,2.47
9.886,-49.622,-2.319,1.117,2.471
9.884,-49.613,-1.561,0.523,2.471
9.894,-49.617,-1.472,0.728,2.469
9.892,-49.621,-1.415,0.693,2.471
9.895,-49.613,-1.939,0.635,2.47
9.896,-49.608,-1.395,0.72,2.467
9.898,-49.606,-1.418,0.546,2.469
9.907,-49.598,-2.03,0.392,2.472
9.894,-49.585,-2.293,0.634,2.469
9.893,-49.586,-1.702,0.856,2.47
9.898,-49.584,-1.527,0.494,2.473
9.912,-49.589,-1.686,0.63,2.47
9.908,-49.591,-1.532,0.954,2.47
9.92,-49.578,-1.751,0.764,2.47
9.925,-49.572,-2.041,0.797,2.471
9.926,-49.568,-2.028,0.766,2.469
9.925,-49.566,-1.908,0.929,2.469
9.927,-49.559,-1.993,0.677,2.468
9.935,-49.554,-2.202,0.785,2.47
9.95,-49.529,-2.763,0.792,2.47
9.955,-49.519,-2.507,0.966,2.469
9.957,-49.519,-2.361,0.884,2.47
9.965,-49.525,-2.521,0.858,2.47
9.972,-49.527,-2.355,0.943,2.469
9.983,-49.527,-2.365,0.767,2.469
10.009,-49.519,-2.78,0.92,2.47
10.043,-49.502,-2.932,0.969,2.471
10.065,-49.493,-2.977,1.104,2.47
10.084,-49.486,-2.833,1.251,2.467
10.101,-49.476,-2.755,0.992,2.472
10.129,-49.459,-3.709,1.787,2.472
10.122,-49.458,-3.237,1.488,2.469
10.133,-49.448,-1.986,1.064,2.471
10.153,-49.443,-2.334,0.726,2.47
10.166,-49.453,-2.831,1.189,2.469
10.175,-49.444,-2.608,0.98,2.471
10.205,-49.428,-2.965,0.991,2.468
10.226,-49.411,-3.083,1.226,2.472
10.237,-49.393,-3.144,0.885,2.469
10.25,-49.385,-3.193,1.417,2.472
10.257,-49.363,-3.214,0.999,2.469
10.269,-49.344,-2.901,1.284,2.469
10.282,-49.331,-2.817,0.955,2.471
10.305,-49.32,-3.154,1.096,2.47
10.324,-49.304,-3.217,1.326,2.469
10.338,-49.295,-3.117,1.068,2.468
10.36,-49.287,-3.405,1.073,2.473
10.381,-49.275,-3.745,1.103,2.47
10.407,-49.257,-2.616,1.372,2.469
10.457,-49.241,-2.764,1.058,2.472
10.479,-49.232,-3.311,1.183,2.47
10.497,-49.218,-3.073,1.403,2.471
10.517,-49.206,-2.815,0.953,2.47
10.534,-49.204,-3.039,1.358,2.469
10.541,-49.199,-3.01,1.131,2.47
10.565,-49.192,-3.512,1.184,2.47
10.577,-49.192,-3.277,1.234,2.47
10.585,-49.193,-3.118,1.103,2.472
10.599,-49.198,-3.205,1.153,2.47
10.601,-49.201,-2.766,1.258,2.47
10.612,-49.203,-2.849,1.037,2.472
10.616,-49.204,-3.038,1.153,2.47
10.614,-49.203,-2.79,1.253,2.472
10.623,-49.201,-2.941,1.073,2.471
10.621,-49.203,-2.921,1.377,2.469
10.616,-49.202,-2.638,1.038,2.469
10.611,-49.211,-3.167,0.986,2.47
10.598,-49.214,-3.179,1.042,2.471
10.584,-49.218,-2.99,1.056,2.471
10.58,-49.224,-2.83,1.156,2.469
10.58,-49.23,-2.633,1.104,2.469
10.583,-49.236,-3.08,0.931,2.47
10.578,-49.233,-3.123,1.01,2.47
10.581,-49.231,-3.054,1.156,2.469
10.584,-49.23,-3.038,1.098,2.471
10.586,-49.231,-3.126,1.045,2.469
10.584,-49.227,-2.762,1.162,2.47
10.587,-49.224,-2.914,0.902,2.472
10.584,-49.226,-3.089,1.169,2.469
10.584,-49.218,-2.628,1.212,2.471
10.592,-49.218,-3.062,0.949,2.47
10.583,-49.221,-2.904,1.179,2.47
10.589,-49.214,-2.716,1.005,2.47
10.605,-49.217,-3.066,1.14,2.471
10.615,-49.213,-3.071,1.076,2.471
10.622,-49.211,-3.039,1.218,2.468
10.634,-49.207,-2.867,1.23,2.472
10.65,-49.2,-3.23,0.942,2.471
10.661,-49.194,-3.038,1.411,2.471
10.684,-49.185,-2.742,1.203,2.469
10.701,-49.181,-2.949,1.189,2.471
10.719,-49.166,-3.441,1.094,2.471
10.716,-49.166,-3.246,1.344,2.473
10.722,-49.167,-3.03,1.298,2.47
10.729,-49.169,-2.946,1.476,2.47
10.742,-49.166,-3.004,1.108,2.469
10.752,-49.161,-3.227,1.231,2.469
10.76,-49.15,-3.313,1.117,2.471
10.77,-49.141,-3.444,1.135,2.47
10.769,-49.14,-3.217,1.359,2.473
10.779,-49.14,-3.153,1.126,2.47
10.782,-49.138,-2.617,1.343,2.471
10.793,-49.134,-2.604,1.032,2.471
10.791,-49.133,-2.798,1.207,2.471
10.793,-49.134,-2.827,1.159,2.471
10.797,-49.134,-2.88,1.212,2.471
10.802,-49.135,-2.845,1.183,2.471
10.803,-49.135,-2.833,1.166,2.47
10.803,-49.136,-2.838,1.133,2.47
10.801,-49.136,-2.856,1.084,2.472
10.8,-49.134,-2.88,1.091,2.47
10.8,-49.136,-2.733,1.365,2.472
10.809,-49.138,-2.897,1.103,2.47
10.809,-49.135,-2.653,1.238,2.469
10.815,-49.135,-2.911,1.079,2.47
10.817,-49.135,-3.298,1.054,2.471
10.814,-49.132,-3.211,1.119,2.472
10.819,-49.134,-3,1.298,2.472
10.825,-49.135,-2.679,1.329,2.471
10.84,-49.133,-2.478,1.271,2.471
10.851,-49.129,-2.669,1.184,2.471
10.86,-49.122,-2.963,1.233,2.47
10.865,-49.119,-2.86,1.267,2.471
10.872,-49.116,-3.027,1.137,2.47
10.873,-49.111,-3.025,1.196,2.472
10.878,-49.11,-3.067,1.194,2.472
10.883,-49.11,-2.905,1.403,2.471
10.905,-49.105,-2.719,1.257,2.47
10.919,-49.103,-2.816,1.205,2.471
10.935,-49.095,-3.109,1.199,2.469
10.937,-49.092,-3.105,0.99,2.473
10.941,-49.09,-3.2,1.033,2.472
10.939,-49.09,-2.874,1.554,2.467
10.95,-49.084,-2.363,1.24,2.472
10.969,-49.081,-3.192,0.808,2.471
10.964,-49.076,-3.398,1.467,2.473
10.975,-49.074,-2.844,1.153,2.471
10.978,-49.076,-2.918,1.52,2.47
10.976,-49.074,-2.786,1.149,2.471
10.976,-49.068,-3.126,1.205,2.471
10.976,-49.063,-3.008,1.254,2.471
10.978,-49.062,-2.916,1.247,2.474
10.981,-49.061,-2.923,1.268,2.472
10.982,-49.062,-2.656,1.552,2.471
10.994,-49.062,-2.542,1.216,2.47
11.007,-49.062,-2.896,1.24,2.472
11.01,-49.056,-3.103,1.2,2.472
11.012,-49.057,-2.987,1.388,2.472
11.017,-49.054,-2.822,1.267,2.472
11.021,-49.053,-2.869,1.419,2.473
11.026,-49.048,-2.931,1.332,2.468
11.031,-49.044,-2.83,1.533,2.473
11.047,-49.031,-3.781,1.189,2.471
11.039,-49.027,-3.5,1.668,2.47
11.034,-49.02,-2.903,1.158,2.472
11.053,-49.027,-3.155,1.241,2.471
11.049,-49.023,-2.81,1.396,2.472
11.058,-49.027,-2.913,1.192,2.472
11.066,-49.023,-2.789,1.349,2.473
11.067,-49.021,-2.722,1.225,2.471
11.07,-49.02,-2.613,1.459,2.473
11.071,-49.018,-2.811,1.23,2.472
11.066,-49.017,-2.851,1.438,2.473
11.064,-49.013,-2.634,1.33,2.47
11.067,-49.013,-2.634,1.393,2.47
11.07,-49.012,-3.009,1.169,2.471
11.075,-49.008,-3.191,1.151,2.472
11.081,-49.009,-3.122,1.206,2.473
11.088,-49.008,-2.692,1.292,2.471
11.105,-49.001,-2.324,1.34,2.473
11.119,-48.994,-2.686,1.225,2.471
11.128,-48.984,-2.411,1.323,2.471
11.132,-48.983,-2.395,1.1,2.47
11.142,-48.983,-2.672,1.182,2.472
11.148,-48.976,-3.049,1.194,2.472
11.156,-48.972,-2.989,1.406,2.473
11.171,-48.967,-2.752,1.299,2.471
11.185,-48.964,-2.578,1.351,2.472
11.194,-48.96,-2.832,1.172,2.472
11.191,-48.957,-2.896,1.42,2.472
11.19,-48.954,-2.715,1.252,2.471
11.195,-48.954,-2.732,1.291,2.472
11.204,-48.951,-2.901,1.223,2.474
11.218,-48.944,-2.791,1.327,2.471
11.235,-48.935,-2.176,1.38,2.475
11.265,-48.921,-2.698,1.227,2.472
11.266,-48.915,-2.69,1.679,2.475
11.271,-48.906,-2.387,1.171,2.471
11.283,-48.908,-2.381,1.596,2.475
11.293,-48.895,-2.832,1.883,2.472
11.29,-48.885,-2.161,1.52,2.473
11.304,-48.884,-2.129,1.212,2.474
11.313,-48.882,-2.499,1.355,2.473
11.314,-48.873,-2.304,1.388,2.474
11.321,-48.873,-2.31,1.291,2.475
11.326,-48.869,-2.075,1.444,2.474
11.329,-48.867,-1.918,1.56,2.474
11.337,-48.865,-1.999,1.425,2.474
11.342,-48.859,-2.075,1.407,2.473
11.345,-48.857,-2.099,1.401,2.477
