Experiment	Tip Move	
Saved Date	28.02.2022 15:00:04	
User		
Comment01	Diagonal, bottom left to upper right	
Lock-in>Lock-in status	ON	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	719E+0	
Lock-in>Amplitude	6E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	155.425E+0	
Lock-in>HP Filter Order D1	1	
Lock-in>HP Filter Order D2	1	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	6.40498E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	1.2434E+3	
Lock-in>LP Filter Cutoff D2 (Hz)	2.4868E+3	
Lock-in>LP Filter Order D1	2	
Lock-in>LP Filter Order D2	2	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	D:\220228_cu111_W_AFM	
NanonisMain>SW Version	Generic 5	
NanonisMain>UI Release	11391	
NanonisMain>RT Release	11386	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Scan>Scanfield	13.0345E-9;-48.9647E-9;7E-9;7E-9;0E+0	
Scan>series name	%y%m%d_Cu	
Scan>channels	Current (A);Bias (V);X (m);Y (m);Z (m);OC D1 Phase (deg);OC D1 Amplitude (m);OC M1 Freq. Shift (Hz);OC M1 Excitation (V);LI Demod 1 X (A);LI Demod 1 Y (A)	
Scan>pixels/line	208	
Scan>lines	208	
Scan>speed forw. (m/s)	3.03188E-9	
Scan>speed backw. (m/s)	3.03188E-9	
Z-Controller>Z (m)	284.026E-12	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	700E-15	
Z-Controller>I gain	23.3333E-9	
Z-Controller>Time const (s)	30E-6	
Z-Controller>TipLift (m)	0E+0	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Current (A)	Bias (V)	X (m)	Y (m)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
-9.5716414E-11	-1.0000001E-1	9.5546087E-9	-5.2430970E-8	-2.8013991E-12	-1.1251851E+2	1.0835103E-12	0.0000000E+0	3.2147286E-3	4.6657999E-12	8.7819064E-13
-1.0206376E-10	-1.0000001E-1	9.5549630E-9	-5.2430615E-8	-3.1253513E-12	-8.8001022E+1	1.3572201E-12	0.0000000E+0	3.2147286E-3	4.8649583E-12	9.4824463E-13
-1.0396196E-10	-1.0000001E-1	9.5553148E-9	-5.2430259E-8	-2.5502903E-12	-5.5822701E+1	1.2644636E-12	0.0000000E+0	3.2147286E-3	4.9147479E-12	9.6575807E-13
-9.5218819E-11	-1.0000001E-1	9.5556683E-9	-5.2429904E-8	-2.7300827E-12	-5.3205681E+1	1.1894017E-12	0.0000000E+0	3.2147286E-3	4.9147479E-12	9.6575807E-13
-1.0372408E-10	-1.0000001E-1	9.5560226E-9	-5.2429549E-8	-2.8758994E-12	-6.1703083E+1	1.3187679E-12	0.0000000E+0	3.2147286E-3	4.9774906E-12	1.1519249E-12
-1.0043198E-10	-1.0000001E-1	9.5563761E-9	-5.2429197E-8	-2.4271269E-12	-5.1121655E+1	9.4546007E-13	0.0000000E+0	3.2147286E-3	4.9774906E-12	1.1519249E-12
-9.5264283E-11	-1.0000001E-1	9.5567270E-9	-5.2428845E-8	-2.8897232E-12	-1.0694790E+2	9.1052805E-13	0.0000000E+0	3.2147286E-3	4.8988066E-12	1.1736187E-12
-1.0479723E-10	-1.0000001E-1	9.5570813E-9	-5.2428486E-8	-2.8829083E-12	1.1651390E+2	7.1974317E-13	0.0000000E+0	3.2147286E-3	4.7152113E-12	1.2242376E-12
-9.8440714E-11	-1.0000001E-1	9.5574357E-9	-5.2428135E-8	-2.5294079E-12	1.0967487E+2	5.8388429E-13	0.0000000E+0	3.2147286E-3	4.7152113E-12	1.2242376E-12
-9.7604071E-11	-1.0000001E-1	9.5577866E-9	-5.2427776E-8	-3.0272844E-12	9.1993065E+1	6.7439820E-13	0.0000000E+0	3.2147286E-3	4.8161878E-12	1.0248272E-12
-1.0532365E-10	-1.0000001E-1	9.5581401E-9	-5.2427431E-8	-2.7086185E-12	1.1277251E+2	5.0145088E-13	0.0000000E+0	3.2147286E-3	4.9171643E-12	8.2541710E-13
-9.6412066E-11	-1.0000001E-1	9.5584944E-9	-5.2427072E-8	-2.5759603E-12	4.2920418E+1	4.1943459E-13	0.0000000E+0	3.2147286E-3	4.9171643E-12	8.2541710E-13
-9.9902510E-11	-1.0000001E-1	9.5588479E-9	-5.2426721E-8	-3.0137466E-12	-1.3696072E+2	5.4331740E-13	0.0000000E+0	3.2147286E-3	4.8378215E-12	1.1063874E-12
-1.0498247E-10	-1.0000001E-1	9.5591997E-9	-5.2426365E-8	-2.5330181E-12	4.9838700E+0	7.3247848E-13	0.0000000E+0	3.2147286E-3	4.8038175E-12	1.2268033E-12
-9.5424516E-11	-1.0000001E-1	9.5595540E-9	-5.2426010E-8	-2.6088871E-12	-1.2132845E+2	8.1893444E-13	0.0000000E+0	3.2147286E-3	4.8038175E-12	1.2268033E-12
-1.0304597E-10	-1.0000001E-1	9.5599084E-9	-5.2425655E-8	-2.8134912E-12	-9.0451515E+1	1.3668789E-12	0.0000000E+0	3.2147286E-3	4.9205219E-12	7.7634112E-13
-1.0065752E-10	-1.0000001E-1	9.5602593E-9	-5.2425300E-8	-2.3772221E-12	-8.6693726E+1	9.6040537E-13	0.0000000E+0	3.2147286E-3	4.9205219E-12	7.7634112E-13
-9.5389419E-11	-1.0000001E-1	9.5606127E-9	-5.2424951E-8	-2.8074374E-12	-1.2262749E+2	6.5998899E-13	0.0000000E+0	3.2147286E-3	4.8618822E-12	8.1415376E-13
-1.0488481E-10	-1.0000001E-1	9.5609671E-9	-5.2424593E-8	-2.8071081E-12	2.5094192E+0	1.3656998E-12	0.0000000E+0	3.2147286E-3	4.6273228E-12	9.6540419E-13
-9.9179540E-11	-1.0000001E-1	9.5613206E-9	-5.2424241E-8	-2.4072105E-12	-1.6117712E+2	1.0410801E-12	0.0000000E+0	3.2147286E-3	4.6273228E-12	9.6540419E-13
-9.7808851E-11	-1.0000001E-1	9.5616723E-9	-5.2423889E-8	-2.8244000E-12	-1.5056873E+2	3.8693969E-13	0.0000000E+0	3.2147286E-3	4.6609973E-12	8.6738028E-13
-1.0571534E-10	-1.0000001E-1	9.5620258E-9	-5.2423538E-8	-2.4930600E-12	1.4383310E+2	3.4967865E-13	0.0000000E+0	3.2147286E-3	4.6946713E-12	7.6935626E-13
-9.7003183E-11	-1.0000001E-1	9.5623802E-9	-5.2423182E-8	-2.2832940E-12	9.6575134E+1	4.7435477E-13	0.0000000E+0	3.2147286E-3	4.6946713E-12	7.6935626E-13
-9.9489451E-11	-1.0000001E-1	9.5627319E-9	-5.2422827E-8	-2.7166613E-12	4.8897274E+1	5.8513665E-13	0.0000000E+0	3.2147286E-3	4.7213253E-12	1.0102623E-12
-1.0434967E-10	-1.0000001E-1	9.5630854E-9	-5.2422472E-8	-2.3085405E-12	3.1589661E+1	7.6766035E-13	0.0000000E+0	3.2147286E-3	4.7327485E-12	1.1135078E-12
-9.5235153E-11	-1.0000001E-1	9.5634398E-9	-5.2422116E-8	-2.3802984E-12	2.1122330E+1	1.4478422E-12	0.0000000E+0	3.2147286E-3	4.7327485E-12	1.1135078E-12
-1.0160203E-10	-1.0000001E-1	9.5637933E-9	-5.2421768E-8	-2.7133601E-12	-2.1157994E+0	7.9478123E-13	0.0000000E+0	3.2147286E-3	4.6735888E-12	8.3043425E-13
-1.0254227E-10	-1.0000001E-1	9.5641450E-9	-5.2421409E-8	-2.2518868E-12	3.4464668E+1	8.0210198E-13	0.0000000E+0	3.2147286E-3	4.6670159E-12	7.9898165E-13
-9.4813858E-11	-1.0000001E-1	9.5644985E-9	-5.2421058E-8	-2.5863814E-12	5.0606953E+1	5.5553235E-13	0.0000000E+0	3.2147286E-3	4.6752402E-12	8.0882984E-13
-1.0388155E-10	-1.0000001E-1	9.5648529E-9	-5.2420699E-8	-2.6978283E-12	5.0379925E+1	3.1807741E-13	0.0000000E+0	3.2147286E-3	4.7492604E-12	8.9746429E-13
-9.8935402E-11	-1.0000001E-1	9.5652046E-9	-5.2420347E-8	-2.2813891E-12	-5.0167244E+1	1.5009162E-13	0.0000000E+0	3.2147286E-3	4.7492604E-12	8.9746429E-13
-9.7680516E-11	-1.0000001E-1	9.5655581E-9	-5.2419988E-8	-2.7282642E-12	1.5812991E+2	3.9386219E-13	0.0000000E+0	3.2147286E-3	4.6984495E-12	1.0172119E-12
-1.0594440E-10	-1.0000001E-1	9.5659125E-9	-5.2419644E-8	-2.4073684E-12	1.0955121E+2	5.4802029E-13	0.0000000E+0	3.2147286E-3	4.6222332E-12	1.1968333E-12
-9.6844498E-11	-1.0000001E-1	9.5662660E-9	-5.2419288E-8	-2.1840242E-12	4.6436028E+1	3.4566881E-13	0.0000000E+0	3.2147286E-3	4.6222332E-12	1.1968333E-12
-9.9188088E-11	-1.0000001E-1	9.5666177E-9	-5.2418933E-8	-2.6550181E-12	-9.2049004E+1	7.7577511E-13	0.0000000E+0	3.2147286E-3	4.7492856E-12	1.2814569E-12
-1.0389939E-10	-1.0000001E-1	9.5669712E-9	-5.2418578E-8	-2.2693381E-12	-6.7394760E+1	9.6032730E-13	0.0000000E+0	3.2147286E-3	4.8339878E-12	1.3378726E-12
-9.4821484E-11	-1.0000001E-1	9.5673256E-9	-5.2418226E-8	-2.4083352E-12	-5.6600281E+1	1.0399551E-12	0.0000000E+0	3.2147286E-3	4.8339878E-12	1.3378726E-12
-1.0148653E-10	-1.0000001E-1	9.5676764E-9	-5.2417874E-8	-2.8076677E-12	-8.4287498E+1	6.5710317E-13	0.0000000E+0	3.2147286E-3	4.7119561E-12	1.2262554E-12
-1.0291749E-10	-1.0000001E-1	9.5680308E-9	-5.2417512E-8	-2.2992758E-12	-1.6548317E+2	1.3037645E-12	0.0000000E+0	3.2147286E-3	4.6983971E-12	1.2138533E-12
-9.5187691E-11	-1.0000001E-1	9.5683852E-9	-5.2417164E-8	-2.5688997E-12	1.5947150E+2	1.5100999E-12	0.0000000E+0	3.2147286E-3	4.7232552E-12	1.2017018E-12
-1.0417758E-10	-1.0000001E-1	9.5687369E-9	-5.2416805E-8	-2.6861701E-12	-9.6158623E+1	8.8891427E-13	0.0000000E+0	3.2147286E-3	4.9469803E-12	1.0923389E-12
-1.0066041E-10	-1.0000001E-1	9.5690904E-9	-5.2416453E-8	-2.1984107E-12	-9.6952065E+1	9.0150055E-13	0.0000000E+0	3.2147286E-3	4.9469803E-12	1.0923389E-12
-9.6445164E-11	-1.0000001E-1	9.5694439E-9	-5.2416102E-8	-2.5831835E-12	-1.2556604E+2	6.6496055E-13	0.0000000E+0	3.2147286E-3	4.8833689E-12	1.0577566E-12
-1.0569551E-10	-1.0000001E-1	9.5697983E-9	-5.2415750E-8	-2.4298207E-12	-3.3848591E+1	1.4238573E-12	0.0000000E+0	3.2147286E-3	4.7349416E-12	9.7706457E-13
-9.8675401E-11	-1.0000001E-1	9.5701491E-9	-5.2415395E-8	-2.0402350E-12	3.6386803E+1	1.4694081E-12	0.0000000E+0	3.2147286E-3	4.7349416E-12	9.7706457E-13
-9.8202058E-11	-1.0000001E-1	9.5705035E-9	-5.2415039E-8	-2.4546133E-12	-1.2167123E+2	1.1491395E-12	0.0000000E+0	3.2147286E-3	4.7618662E-12	9.4451725E-13
-1.0404801E-10	-1.0000001E-1	9.5708579E-9	-5.2414684E-8	-2.0975439E-12	-1.4751747E+2	1.5695090E-12	0.0000000E+0	3.2147286E-3	4.7887909E-12	9.1196983E-13
-9.5164807E-11	-1.0000001E-1	9.5712096E-9	-5.2414329E-8	-2.1734407E-12	3.2555073E+1	1.3644093E-12	0.0000000E+0	3.2147286E-3	4.7887909E-12	9.1196983E-13
-1.0147783E-10	-1.0000001E-1	9.5715631E-9	-5.2413981E-8	-2.5567764E-12	1.1593872E+2	1.2666383E-12	0.0000000E+0	3.2147286E-3	4.4772116E-12	1.0353623E-12
-1.0289064E-10	-1.0000001E-1	9.5719166E-9	-5.2413622E-8	-2.0904591E-12	6.0795143E+1	1.7665936E-12	0.0000000E+0	3.2147286E-3	4.3993168E-12	1.0662106E-12
-9.4442600E-11	-1.0000001E-1	9.5722710E-9	-5.2413270E-8	-2.3799066E-12	4.3685646E+1	1.1858796E-12	0.0000000E+0	3.2147286E-3	4.4375384E-12	1.0649496E-12
-1.0398652E-10	-1.0000001E-1	9.5726218E-9	-5.2412911E-8	-2.5630362E-12	-8.8220810E+1	1.2903066E-12	0.0000000E+0	3.2147286E-3	4.7815358E-12	1.0536007E-12
-1.0125414E-10	-1.0000001E-1	9.5729762E-9	-5.2412567E-8	-2.0427601E-12	-1.1021515E+2	2.2381671E-12	0.0000000E+0	3.2147286E-3	4.7815358E-12	1.0536007E-12
-9.6409006E-11	-1.0000001E-1	9.5733306E-9	-5.2412211E-8	-2.3937503E-12	-1.4524275E+2	1.6976790E-12	0.0000000E+0	3.2147286E-3	4.8466240E-12	1.0389617E-12
-1.0531877E-10	-1.0000001E-1	9.5736823E-9	-5.2411856E-8	-2.2561315E-12	1.2518387E+0	1.8622276E-12	0.0000000E+0	3.2147286E-3	4.9984960E-12	1.0048039E-12
-9.8898320E-11	-1.0000001E-1	9.5740349E-9	-5.2411501E-8	-1.8784373E-12	-3.5465111E+1	2.5554502E-12	0.0000000E+0	3.2147286E-3	4.9984960E-12	1.0048039E-12
-9.8499764E-11	-1.0000001E-1	9.5743893E-9	-5.2411146E-8	-2.2867563E-12	-1.7327039E+2	2.0725318E-12	0.0000000E+0	3.2147286E-3	4.8052057E-12	1.0147899E-12
-1.0583421E-10	-1.0000001E-1	9.5747428E-9	-5.2410790E-8	-1.8906955E-12	-1.3670895E+2	1.7663315E-12	0.0000000E+0	3.2147286E-3	4.6119141E-12	1.0247760E-12
-9.6013045E-11	-1.0000001E-1	9.5750945E-9	-5.2410439E-8	-1.7289982E-12	-1.3166577E+2	2.3676859E-12	0.0000000E+0	3.2147286E-3	4.6119141E-12	1.0247760E-12
-9.9268649E-11	-1.0000001E-1	9.5754489E-9	-5.2410087E-8	-2.2491622E-12	-1.4310748E+2	2.3924578E-12	0.0000000E+0	3.2147286E-3	4.8956542E-12	1.1072448E-12
-1.0319778E-10	-1.0000001E-1	9.5758024E-9	-5.2409728E-8	-1.9002237E-12	-1.5674515E+2	2.0516353E-12	0.0000000E+0	3.2147286E-3	5.0172579E-12	1.1425885E-12
-9.4555676E-11	-1.0000001E-1	9.5761541E-9	-5.2409376E-8	-2.1080162E-12	2.3736582E+1	9.0572677E-13	0.0000000E+0	3.2147286E-3	5.0172579E-12	1.1425885E-12
-1.0331407E-10	-1.0000001E-1	9.5765076E-9	-5.2409018E-8	-2.4095162E-12	-7.2812080E+1	3.4831014E-13	0.0000000E+0	3.2147286E-3	4.6726728E-12	9.9092707E-13
-1.0164323E-10	-1.0000001E-1	9.5768620E-9	-5.2408673E-8	-1.9174746E-12	-6.8363152E+1	7.0059030E-13	0.0000000E+0	3.2147286E-3	4.6726728E-12	9.9092707E-13
-9.6510022E-11	-1.0000001E-1	9.5772155E-9	-5.2408314E-8	-2.2244702E-12	-5.9091431E+1	6.6830580E-13	0.0000000E+0	3.2147286E-3	4.6734092E-12	9.7874996E-13
-1.0573931E-10	-1.0000001E-1	9.5775672E-9	-5.2407962E-8	-2.0653475E-12	-2.6438868E+1	1.2545928E-12	0.0000000E+0	3.2147286E-3	4.6763526E-12	9.3004185E-13
-9.9412846E-11	-1.0000001E-1	9.5779216E-9	-5.2407607E-8	-1.6165354E-12	-4.1400776E+1	1.7573347E-12	0.0000000E+0	3.2147286E-3	4.6763526E-12	9.3004185E-13
-9.8217476E-11	-1.0000001E-1	9.5782751E-9	-5.2407252E-8	-1.9986534E-12	-5.6730659E+1	1.0650733E-12	0.0000000E+0	3.2147286E-3	4.6689644E-12	1.0131953E-12
-1.0539264E-10	-1.0000001E-1	9.5786268E-9	-5.2406897E-8	-1.6768381E-12	-2.1878895E+1	5.0105775E-13	0.0000000E+0	3.2147286E-3	4.6615767E-12	1.0963484E-12
-9.5870069E-11	-1.0000001E-1	9.5789803E-9	-5.2406541E-8	-1.5609802E-12	1.4143993E+2	1.0699267E-12	0.0000000E+0	3.2147286E-3	4.6615767E-12	1.0963484E-12
-9.8949751E-11	-1.0000001E-1	9.5793347E-9	-5.2406193E-8	-2.0659149E-12	1.5979617E+2	9.4503246E-13	0.0000000E+0	3.2147286E-3	4.5991583E-12	1.1751108E-12
-1.0342438E-10	-1.0000001E-1	9.5796882E-9	-5.2405834E-8	-1.7419266E-12	-9.8504478E+1	6.8636839E-13	0.0000000E+0	3.2147286E-3	4.5724076E-12	1.2088661E-12
-9.4611832E-11	-1.0000001E-1	9.5800399E-9	-5.2405483E-8	-1.9109148E-12	-1.7338214E+2	1.0766229E-12	0.0000000E+0	3.2147286E-3	4.5724076E-12	1.2088661E-12
-1.0124344E-10	-1.0000001E-1	9.5803943E-9	-5.2405131E-8	-2.3256852E-12	-1.1909529E+2	1.2243873E-12	0.0000000E+0	3.2147286E-3	4.5263784E-12	9.1061685E-13
-1.0259019E-10	-1.0000001E-1	9.5807478E-9	-5.2404779E-8	-1.8716994E-12	-1.2851897E+2	1.2328122E-12	0.0000000E+0	3.2147286E-3	4.5212640E-12	8.7747810E-13
-9.5181599E-11	-1.0000001E-1	9.5810986E-9	-5.2404424E-8	-2.1792409E-12	-1.2739677E+2	1.3052728E-12	0.0000000E+0	3.2147286E-3	4.5573150E-12	8.6038192E-13
-1.0557349E-10	-1.0000001E-1	9.5814530E-9	-5.2404069E-8	-2.1846821E-12	-1.5588405E+2	8.4493751E-13	0.0000000E+0	3.2147286E-3	4.8817742E-12	7.0651520E-13
-1.0071137E-10	-1.0000001E-1	9.5818073E-9	-5.2403713E-8	-1.6184901E-12	7.9397279E-1	6.9955950E-13	0.0000000E+0	3.2147286E-3	4.8817742E-12	7.0651520E-13
-9.7547623E-11	-1.0000001E-1	9.5821608E-9	-5.2403358E-8	-2.0489580E-12	1.4736101E+2	1.3846773E-12	0.0000000E+0	3.2147286E-3	5.0130668E-12	9.7139267E-13
-1.0615971E-10	-1.0000001E-1	9.5825126E-9	-5.2403010E-8	-1.7268415E-12	1.3441232E+2	1.5882622E-12	0.0000000E+0	3.2147286E-3	5.2100052E-12	1.3687089E-12
-9.7023931E-11	-1.0000001E-1	9.5828669E-9	-5.2402651E-8	-1.4661039E-12	1.4674876E+2	1.0532165E-12	0.0000000E+0	3.2147286E-3	5.2100052E-12	1.3687089E-12
-9.8568889E-11	-1.0000001E-1	9.5832204E-9	-5.2402299E-8	-1.9726874E-12	-5.8681824E+1	7.0868002E-13	0.0000000E+0	3.2147286E-3	5.0909112E-12	1.0926900E-12
-1.0392685E-10	-1.0000001E-1	9.5835713E-9	-5.2401941E-8	-1.6271472E-12	-1.1083527E+2	8.7535334E-13	0.0000000E+0	3.2147286E-3	5.0398709E-12	9.7439613E-13
-9.4560859E-11	-1.0000001E-1	9.5839257E-9	-5.2401589E-8	-1.7698355E-12	-1.2269529E+2	8.3405375E-13	0.0000000E+0	3.2147286E-3	5.0398709E-12	9.7439613E-13
-1.0128665E-10	-1.0000001E-1	9.5842800E-9	-5.2401230E-8	-2.1933028E-12	1.7098581E+2	1.2977907E-12	0.0000000E+0	3.2147286E-3	4.9112676E-12	7.8520420E-13
-1.0168626E-10	-1.0000001E-1	9.5846318E-9	-5.2400885E-8	-1.8015133E-12	1.6622641E+2	9.9961998E-13	0.0000000E+0	3.2147286E-3	4.8969782E-12	7.6418288E-13
-9.5334185E-11	-1.0000001E-1	9.5849852E-9	-5.2400527E-8	-2.0983883E-12	2.9941441E+1	2.4084085E-13	0.0000000E+0	3.2147286E-3	4.8469987E-12	7.9048253E-13
-1.0467059E-10	-1.0000001E-1	9.5853396E-9	-5.2400175E-8	-2.2005288E-12	8.2414116E+1	9.0275563E-13	0.0000000E+0	3.2147286E-3	4.3971836E-12	1.0271790E-12
-1.0178147E-10	-1.0000001E-1	9.5856931E-9	-5.2399820E-8	-1.6135062E-12	1.1389832E+2	1.0486451E-12	0.0000000E+0	3.2147286E-3	4.3971836E-12	1.0271790E-12
-9.7323004E-11	-1.0000001E-1	9.5860440E-9	-5.2399464E-8	-1.8646900E-12	-4.4410480E+1	5.1197913E-13	0.0000000E+0	3.2147286E-3	4.5322422E-12	9.2292612E-13
-1.0665151E-10	-1.0000001E-1	9.5863983E-9	-5.2399116E-8	-1.6028347E-12	-1.2343162E+2	3.8862389E-13	0.0000000E+0	3.2147286E-3	4.8473799E-12	6.7966986E-13
-9.8223131E-11	-1.0000001E-1	9.5867527E-9	-5.2398754E-8	-1.1869246E-12	-4.0507345E+0	5.9689157E-13	0.0000000E+0	3.2147286E-3	4.8473799E-12	6.7966986E-13
