-1.3710E+1,1.1910E+1,-1.3006E+1,3.6283E-7,-6.2830E-7,-7.6931E-9,5.3202E-3,7.0121E-3,1.0330E+0,-2.3304E+0
-1.3720E+1,1.1895E+1,-1.3010E+1,3.6283E-7,-6.2829E-7,-7.6931E-9,5.2726E-3,7.2126E-3,1.0330E+0,-2.3304E+0
-1.3719E+1,1.1880E+1,-1.3015E+1,3.6283E-7,-6.2829E-7,-7.6931E-9,5.0530E-3,9.3201E-3,1.0330E+0,-2.3304E+0
-1.3719E+1,1.1880E+1,-1.3015E+1,3.6283E-7,-6.2829E-7,-7.6931E-9,5.0530E-3,9.3201E-3,1.0330E+0,-2.3304E+0
-1.3731E+1,1.1886E+1,-1.3026E+1,3.6283E-7,-6.2829E-7,-7.6931E-9,5.1456E-3,7.9758E-3,1.0330E+0,-2.3304E+0
-1.3741E+1,1.1870E+1,-1.3031E+1,3.6283E-7,-6.2829E-7,-7.6931E-9,6.8253E-3,7.1851E-3,1.0330E+0,-2.3304E+0
-1.3742E+1,1.1877E+1,-1.3042E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,6.4733E-3,6.4535E-3,1.0330E+0,-2.3304E+0
-1.3751E+1,1.1847E+1,-1.3051E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.7196E-3,8.3196E-3,1.0330E+0,-2.3304E+0
-1.3763E+1,1.1853E+1,-1.3063E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.6769E-3,7.1969E-3,1.0330E+0,-2.3304E+0
-1.3762E+1,1.1838E+1,-1.3067E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.6407E-3,6.4316E-3,1.0330E+0,-2.3304E+0
-1.3772E+1,1.1823E+1,-1.3072E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.3082E-3,8.7604E-3,1.0330E+0,-2.3304E+0
-1.3773E+1,1.1830E+1,-1.3083E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.3429E-3,7.5511E-3,1.0330E+0,-2.3304E+0
-1.3783E+1,1.1814E+1,-1.3088E+1,3.6283E-7,-6.2829E-7,-7.6932E-9,5.3429E-3,7.5511E-3,1.0330E+0,-2.3304E+0
-1.3783E+1,1.1814E+1,-1.3088E+1,3.6283E-7,-6.2828E-7,-7.6932E-9,5.3769E-3,6.6881E-3,1.0330E+0,-2.3304E+0
